Title;Subtitle;Image;Author;Publication;Year;Month;Day;Tag;Reading_Time;Claps;Comment;url;Author_url
NaN;What is it and how do we achieve it?;1;Patricia Thaine;Towards Data Science;2020;1;1;Artificial-Intelligence;10;301;0;https://towardsdatascience.com/perfectly-privacy-preserving-ai-c14698f322f5?source=tag_archive---------0-----------------------;https://towardsdatascience.com/@patriciathaine?source=tag_archive---------0-----------------------
Sentiment Analysis of Movie Reviews in NLTK Python;A gentle introduction to sentiment analysis;1;S Joel Franklin;NaN;2020;1;1;Artificial-Intelligence;4;4;0;https://medium.com/@joel_34096/sentiment-analysis-of-movie-reviews-in-nltk-python-4af4b76a6f3?source=tag_archive---------1-----------------------;https://medium.com/@joel_34096?source=tag_archive---------1-----------------------
GAN Pix2Pix Generative Model;Image-to-image translation with Pix2Pix model;1;Anirudh S;Towards Data Science;2020;1;1;Artificial-Intelligence;6;81;0;https://towardsdatascience.com/gan-pix2pix-generative-model-c9bf5d691bac?source=tag_archive---------2-----------------------;https://towardsdatascience.com/@baakchsu.sprx77?source=tag_archive---------2-----------------------
An Introduction to Decision Trees with Python and scikit-learn;A complete guide to getting an intuitive understanding as well as a mathematical understanding of Decision Trees to implement your first;0;Mikkel Duif;Towards Data Science;2020;1;1;Artificial-Intelligence;8;105;0;https://towardsdatascience.com/an-introduction-to-decision-trees-with-python-and-scikit-learn-1a5ba6fc204f?source=tag_archive---------3-----------------------;https://towardsdatascience.com/@mikkelduif?source=tag_archive---------3-----------------------
Gradient Based Optimizations: Jacobians, Jababians & Hessians;Sometimes we need to find all of the;1;Jake Batsuuri;The Startup;2020;1;1;Artificial-Intelligence;7;237;0;https://medium.com/swlh/gradient-based-optimizations-jacobians-jababians-hessians-b7cbe62d662d?source=tag_archive---------4-----------------------;https://medium.com/@tbatsorry?source=tag_archive---------4-----------------------
Multi Layer Perceptron (MLP) Nedir?;MLP Nedir?;1;Elif I khan;NaN;2020;1;1;Artificial-Intelligence;3;3;0;https://medium.com/@isikhanelif/multi-layer-perceptron-mlp-nedir-4758285a7f15?source=tag_archive---------5-----------------------;https://medium.com/@isikhanelif?source=tag_archive---------5-----------------------
Why PadhAI?;It has been about a year since PadhAI started. In this time, we have experienced great joy in teaching Deep Learning through our online;1;PadhAI;NaN;2020;1;1;Artificial-Intelligence;4;153;0;https://medium.com/@padhai/why-padhai-2e32b008333b?source=tag_archive---------6-----------------------;https://medium.com/@padhai?source=tag_archive---------6-----------------------
How To Manage Data Science Project In 2020;4 ingredients for successful DS project management;1;Leihua Ye, Ph.D. Researcher;Towards Data Science;2020;1;1;Artificial-Intelligence;6;38;0;https://towardsdatascience.com/do-data-science-good-until-do-it-great-in-2020-7466598c5cd0?source=tag_archive---------7-----------------------;https://towardsdatascience.com/@leihua-ye?source=tag_archive---------7-----------------------
2019s Top Machine Learning Articles;The best written and video content from the year in machine;1;Derrick Mwiti;Heartbeat;2020;1;1;Artificial-Intelligence;10;59;0;https://heartbeat.fritz.ai/2019s-top-machine-learning-articles-49082b4ca946?source=tag_archive---------8-----------------------;https://heartbeat.fritz.ai/@mwitiderrick?source=tag_archive---------8-----------------------
Can the dynamic linking of neural activations bring us closer to strong AI?;Most artificial neural;1;Lukas Molzberger;Towards Data Science;2020;1;1;Artificial-Intelligence;10;34;0;https://towardsdatascience.com/can-the-dynamic-linking-of-neural-activations-bring-us-closer-to-strong-ai-bc85b64c9f82?source=tag_archive---------9-----------------------;https://towardsdatascience.com/@lukasmolzberger?source=tag_archive---------9-----------------------
Smallest Neural Network for Beginners;Building your Intuition on Neural Networks with the help of a;1;Shiva Verma;Towards Data Science;2020;1;1;Artificial-Intelligence;4;279;0;https://towardsdatascience.com/smallest-neural-network-for-complete-beginners-in-4-mins-5a398b574053?source=tag_archive---------10-----------------------;https://towardsdatascience.com/@shiva-verma?source=tag_archive---------10-----------------------
