Title;Subtitle;Image;Author;Publication;Year;Month;Day;Tag;Reading_Time;Claps;Comment;url;Author_url
The Intuition in The Queens Gambit;Netflixs The Queens Gambit must be the ultimate mathematical geek series. One cannot;1;Carlos E. Perez;Intuition Machine;2020;11;1;AI;7;855;0;https://medium.com/intuitionmachine/the-intuition-in-the-queens-gambit-f1c3c04da1ed?source=tag_archive---------0-----------------------;https://medium.com/@intuitmachine?source=tag_archive---------0-----------------------
NaN;NaN;1;Shareef Shaik;Towards Data Science;2020;11;1;AI;8;132;0;https://towardsdatascience.com/know-how-to-learn-machine-learning-algorithms-effectively-81766fe442e0?source=tag_archive---------1-----------------------;https://towardsdatascience.com/@shareefshaik1375?source=tag_archive---------1-----------------------
Implementation of Gradient Ascent using Logistic Regression;NaN;1;Vasugupta;NaN;2020;11;1;AI;7;516;0;https://medium.com/@vasugupta2000/implementation-of-gradient-ascent-using-logistic-regression-7f5343877c21?source=tag_archive---------2-----------------------;https://medium.com/@vasugupta2000?source=tag_archive---------2-----------------------
PARANOID TRANSFORMER;The pre-order of my book, Paranoid Transformer, generated by a bunch of neural;1;Aleksey Tikhonov;Altsoph s blog;2020;11;1;AI;4;71;0;https://medium.com/altsoph/paranoid-transformer-80a960ddc90a?source=tag_archive---------3-----------------------;https://medium.com/@altsoph?source=tag_archive---------3-----------------------
Projet : Estimateur de prix dun bien immobilier bas sur du Machine Learning;Crer un modle;1;Arnaud Hureaux;NaN;2020;11;1;AI;12;50;0;https://medium.com/@hureauxarnaud/projet-estimateur-de-prix-dun-bien-immobilier-bas%C3%A9-sur-du-machine-learning-ae578fdacaca?source=tag_archive---------4-----------------------;https://medium.com/@hureauxarnaud?source=tag_archive---------4-----------------------
Generating an Edgar Allan Poe-Styled Poem Using GPT-2;NaN;1;Scott Duda;NaN;2020;11;1;AI;10;42;0;https://medium.com/@scottmduda/generating-an-edgar-allen-poe-styled-poem-using-gpt-2-289801ded82c?source=tag_archive---------5-----------------------;https://medium.com/@scottmduda?source=tag_archive---------5-----------------------
AI Network Monthly Update: Oct 2020;NaN;1;AI Network;AI Network Blog;2020;11;1;AI;2;73;0;https://medium.com/ai-network/ai-network-monthly-update-oct-2020-32213b2999cf?source=tag_archive---------6-----------------------;https://medium.com/@ai-network?source=tag_archive---------6-----------------------
Convolutional Neural Network Research Filter Finds a Missing Link: Treat COVID-19 with Antihistamines;NaN;1;Quinsi Cavallis;NaN;2020;11;1;AI;15;0;0;https://medium.com/@quinsicav/convolutional-neural-network-research-filter-finds-a-missing-link-treat-covid-19-with-5077a52dfdfe?source=tag_archive---------7-----------------------;https://medium.com/@quinsicav?source=tag_archive---------7-----------------------
Handwritten Digit Recognition TensorFlow.js;In this article, well build a TensorFlow.js model to recognize handwritten digits;1;Sameer Bairwa;Analytics Vidhya;2020;11;1;AI;11;50;0;https://medium.com/analytics-vidhya/handwritten-digit-recognition-tensorflow-js-71caf52f757e?source=tag_archive---------8-----------------------;https://medium.com/@sameerbairwa07?source=tag_archive---------8-----------------------
Whats Wrong With Data Science Adoption?;A decade in the making;1;Rajesh Verma;The Startup;2020;11;1;AI;5;85;0;https://medium.com/swlh/whats-wrong-with-data-science-adoption-947e82e33efc?source=tag_archive---------9-----------------------;https://medium.com/@rajvermausa?source=tag_archive---------9-----------------------
