Title;Subtitle;Image;Author;Publication;Year;Month;Day;Tag;Reading_Time;Claps;Comment;url;Author_url
Dunderless Python;This story is about improving your code quality and ways to reduce boilerplate when;1;Amine Kaabachi;Towards Data Science;2020;11;1;data;6;192;0;https://towardsdatascience.com/dunderless-python-7d7ab634450b?source=tag_archive---------0-----------------------;https://towardsdatascience.com/@akaabachi?source=tag_archive---------0-----------------------
NaN;NaN;1;Kovid Rathee;Towards Data Science;2020;11;1;data;4;67;0;https://towardsdatascience.com/a-beginners-guide-to-data-reliability-engineering-8bfd9b9fcaf6?source=tag_archive---------1-----------------------;https://towardsdatascience.com/@kovidrathee?source=tag_archive---------1-----------------------
Building Sankey Charts- Storytelling with Data;What are Sankey charts and how to create them in Tableau;1;Aasavari Kaley;The Innovation;2020;11;1;data;5;98;0;https://medium.com/the-innovation/building-sankey-charts-storytelling-with-data-a98680131152?source=tag_archive---------2-----------------------;https://medium.com/@aasavari-kaley?source=tag_archive---------2-----------------------
Predictive Data Model on Ames Housing Data;Introduction;1;Maliha Gangat;Analytics Vidhya;2020;11;1;data;7;50;0;https://medium.com/analytics-vidhya/predictive-data-model-on-ames-housing-data-c45a84f6c4ac?source=tag_archive---------3-----------------------;https://medium.com/@maliha-gangat?source=tag_archive---------3-----------------------
Distributed pinning of IPFS hashes;Decentralization is a major topic and the ultimate goal for most people in the Blockchain;1;Bernd Lapp;AVADO Node;2020;11;1;data;3;2;0;https://medium.com/avado-node/distributed-pinning-of-ipfs-hashes-a6a977f980d3?source=tag_archive---------4-----------------------;https://medium.com/@bernd.lapp?source=tag_archive---------4-----------------------
NaN;Feature engineering;1;Abhay Parashar;Towards AI;2020;11;1;data;5;102;0;https://medium.com/towards-artificial-intelligence/different-approaches-to-handle-categorical-values-a2e35fbd6128?source=tag_archive---------5-----------------------;https://medium.com/@parasharabhay13?source=tag_archive---------5-----------------------
Everything Wrong With The University Of Kansas Mask Study;In 7 Minutes Or Less;1;Corsair's Publishing;Course Studies;2020;11;1;data;7;151;0;https://course-studies.corsairs.network/everything-wrong-with-the-university-of-kansas-mask-study-af79dd67207d?source=tag_archive---------6-----------------------;https://course-studies.corsairs.network/@corsairs?source=tag_archive---------6-----------------------
New Excel Data Types;Wolfram|Alpha Data Intelligence: New in Microsoft;1;dataninja;Data Driven Investor;2020;11;1;data;4;92;0;https://medium.com/datadriveninvestor/new-excel-data-types-a17b8fc6d606?source=tag_archive---------7-----------------------;https://medium.com/@dataninja?source=tag_archive---------7-----------------------
Do You Have What It Takes?!;Do You Have The Right Stack? Does Your Team have the 7 Characteristics of Successful Digital Leaders?! These;1;Bruno Aziza;Be Data Driven!;2020;11;1;data;5;0;0;https://medium.com/be-data-driven/do-you-have-what-it-takes-15cdf1c9045d?source=tag_archive---------8-----------------------;https://medium.com/@brunoaziza?source=tag_archive---------8-----------------------
How to Improve the Quality of Your Machine Learning Models;NaN;1;Rohan;The Startup;2020;11;1;data;6;53;0;https://medium.com/swlh/how-to-improve-the-quality-of-your-machine-learning-models-4bc8f285a8de?source=tag_archive---------9-----------------------;https://medium.com/@rohankapadnis?source=tag_archive---------9-----------------------
Alexa, I Know You Hear Me;Every single word, all the time you are listening;1;Jennifer Friebely;Data Driven Investor;2020;11;1;data;5;78;0;https://medium.com/datadriveninvestor/alexa-i-know-you-hear-me-72f0bcbc40b2?source=tag_archive---------10-----------------------;https://medium.com/@jennyfriebely?source=tag_archive---------10-----------------------
Reflections on learned helplessness and what to do about it;NaN;1;Michelle-Joy Low;NaN;2020;11;1;data;5;8;0;https://medium.com/@michellejoylow/reflections-on-learned-helplessness-in-teams-e854181e75b8?source=tag_archive---------11-----------------------;https://medium.com/@michellejoylow?source=tag_archive---------11-----------------------
Optimism is Realistic: Lessons from Trend-Analysis;NaN;1;Dr. Wolf von Laer;NaN;2020;11;1;data;3;2;0;https://medium.com/@wolf-vonlaer/optimism-is-realistic-lessons-from-trend-analysis-888e475bd9ab?source=tag_archive---------12-----------------------;https://medium.com/@wolf-vonlaer?source=tag_archive---------12-----------------------
Distributed DataReplication;Designing Data-Intensive Applications by Martin Kleppmann;0;Prasad Jayakumar;Four Dots;2020;11;1;data;2;3;0;https://medium.com/fourdots/distributed-data-replication-26319474375c?source=tag_archive---------13-----------------------;https://medium.com/@prasad-jayakumar?source=tag_archive---------13-----------------------
