Title;Subtitle;Image;Author;Publication;Year;Month;Day;Tag;Reading_Time;Claps;Comment;url;Author_url
How did I learn Data Science in 2 months?;Heres the complete road-map to learn Data Science from;1;Hari Prasad;Towards Data Science;2020;7;1;data;5;132;0;https://towardsdatascience.com/how-did-i-learn-data-science-in-2-months-8f72c5f5b401?source=tag_archive---------0-----------------------;https://towardsdatascience.com/@hari.prasad_?source=tag_archive---------0-----------------------
NaN;NaN;1;Chris I.;Towards Data Science;2020;7;1;data;4;226;0;https://towardsdatascience.com/data-over-everything-abbeb9ee758?source=tag_archive---------1-----------------------;https://towardsdatascience.com/@chris-writes-code?source=tag_archive---------1-----------------------
Chartjs tutorial with ReactNextjs with examples;Creating amazing charts with in React with Chartjs;1;Melih Yumak;ITNEXT;2020;7;1;data;3;80;0;https://itnext.io/chartjs-tutorial-with-react-nextjs-with-examples-2f514fdc130?source=tag_archive---------2-----------------------;https://itnext.io/@melih193?source=tag_archive---------2-----------------------
Harvard in the Age of COVID-19;Data from students during a semester dominated by coronavirus.;1;Harvard Open Data Project;Harvard College Open Data Project;2020;7;1;data;11;113;0;https://medium.com/harvard-open-data-project/harvard-in-the-age-of-covid-19-1b06e6501335?source=tag_archive---------3-----------------------;https://medium.com/@harvardopendataproject?source=tag_archive---------3-----------------------
BikeSpot 2020 Results: Lack of dedicated space to ride, car dooring and traffic speed top safety;NaN;1;Anthony Aisenberg;CrowdSpot Blog;2020;7;1;data;4;0;0;https://medium.com/crowdspot-blog/bikespot-2020-results-10b62d3e49d5?source=tag_archive---------4-----------------------;https://medium.com/@anthony_aisenberg?source=tag_archive---------4-----------------------
Deploying Apache Airflow with Docker Compose;workflow;1;Guillermo Barreiro;Gradiant Talks;2020;7;1;data;6;60;0;https://medium.com/gradiant-talks/deploying-apache-airflow-with-docker-compose-67eb19334f95?source=tag_archive---------5-----------------------;https://medium.com/@guille_barreiro?source=tag_archive---------5-----------------------
Whats so Special About Waterfall Charts?;NaN;1;Guillermo Esquivel;NaN;2020;7;1;data;5;51;0;https://medium.com/@guillermo.esquivel.j/whats-so-special-about-waterfall-charts-1db3cdd33734?source=tag_archive---------6-----------------------;https://medium.com/@guillermo.esquivel.j?source=tag_archive---------6-----------------------
What the Future Wants;A look at how digital technologies designed for young people are often addictive, unhealthy or unsafeand what we;1;Tactical Tech;The Startup;2020;7;1;data;12;122;0;https://medium.com/swlh/what-the-future-wants-91f7388e0b94?source=tag_archive---------7-----------------------;https://medium.com/@Info_Activism?source=tag_archive---------7-----------------------
Data is Now the Worlds Most Valuable CommodityHeres How You Can Own Yours;Data is the most;1;Tiffany Madison;DecentraNet;2020;7;1;data;5;0;0;https://medium.com/decentranet/data-is-the-most-valuable-commodity-on-earth-heres-how-you-can-own-your-data-94acb7a9ee75?source=tag_archive---------8-----------------------;https://medium.com/@tiffanymadison?source=tag_archive---------8-----------------------
Socializing in a World of Social Distance: A COVID-19 Data Journey;Using data visualization to tell;1;Emilia Ruzicka;Nightingale;2020;7;1;data;9;216;0;https://medium.com/nightingale/socializing-in-a-world-of-social-distance-a-covid-19-data-journey-a40141ec831d?source=tag_archive---------9-----------------------;https://medium.com/@emilia_ruzicka?source=tag_archive---------9-----------------------
Reviso de anlises exploratrias por pares no Grupo ZAP;NaN;1;Manuele Ferreira;Tech@Grupo ZAP;2020;7;1;data;5;64;0;https://medium.com/tech-grupozap/revis%C3%A3o-de-an%C3%A1lises-explorat%C3%B3rias-por-pares-no-grupo-zap-da330bd32b42?source=tag_archive---------10-----------------------;https://medium.com/@manueleferreira?source=tag_archive---------10-----------------------
Utan Uca Uygulamal RFM Analizi ve Satlar Artrmak iin Aksiyon nerileri;NaN;1;Nehir Gunce Dasci;NaN;2020;7;1;data;6;60;0;https://medium.com/@ng-dasci/u%C3%A7tan-uca-uygulamal%C4%B1-rfm-analizi-ve-sat%C4%B1%C5%9Flar%C4%B1-art%C4%B1rmak-i%C3%A7in-aksiyon-%C3%B6nerileri-82d8a1816843?source=tag_archive---------11-----------------------;https://medium.com/@ng-dasci?source=tag_archive---------11-----------------------
NaN;The Power of Our Curation Stars: A;1;Arthur G. Hernandez;ILLUMINATION;2020;7;1;data;6;1.2K;0;https://medium.com/illumination/curation-data-from-illumination-7731488d4b03?source=tag_archive---------12-----------------------;https://medium.com/@artgh7?source=tag_archive---------12-----------------------
NaN;NaN;1;Shaurya Lalwani;Towards AI;2020;7;1;data;5;120;0;https://medium.com/towards-artificial-intelligence/assumptions-of-linear-regression-what-fellow-data-scientists-should-know-fe0288c70b00?source=tag_archive---------13-----------------------;https://medium.com/@shauryalalwani?source=tag_archive---------13-----------------------
Como os vieses cognitivos podem impactar a anlise de dados?;No QuintoAndar temos o desafio de;1;Jonas Fernandes;NaN;2020;7;1;data;8;27;0;https://medium.com/@jonastadeu1/como-os-vieses-cognitivos-podem-impactar-a-an%C3%A1lise-de-dados-b420428829cb?source=tag_archive---------14-----------------------;https://medium.com/@jonastadeu1?source=tag_archive---------14-----------------------
GO in the time of COVID-19;The Red Cross / Red Crescent Movement, operating at local and national levels across the globe, is on the front;1;IFRC GO;NaN;2020;7;1;data;5;21;0;https://medium.com/@ifrcgoproject/go-in-the-time-of-covid-19-eb5152b33640?source=tag_archive---------15-----------------------;https://medium.com/@ifrcgoproject?source=tag_archive---------15-----------------------
Transparency, Engagement, and Results in Topeka;2020 Certification Level: Silver;1;What Works Cities;What Works Cities Certification;2020;7;1;data;8;3;0;https://medium.com/what-works-cities-certification/transparency-engagement-and-results-in-topeka-f8798f4b0363?source=tag_archive---------16-----------------------;https://medium.com/@whatworkscities?source=tag_archive---------16-----------------------
Building a linear regression model to predict ABL attendance;Everyone loves a good crowdbut can we;1;Luke Weatherstone;statABL;2020;7;1;data;10;6;0;https://medium.com/statabl/building-a-linear-regression-model-to-predict-abl-attendance-9286a7658255?source=tag_archive---------17-----------------------;https://medium.com/@luke.weatherstone?source=tag_archive---------17-----------------------
Build A StreamSets Pipeline In 5 Minutes;Demonstration on building a realtime data pipeline using Streamsets;1;Chloooo;NaN;2020;7;1;data;5;100;0;https://medium.com/@lumh2011/build-a-streamsets-pipeline-in-5-minutes-c0b8617c572c?source=tag_archive---------18-----------------------;https://medium.com/@lumh2011?source=tag_archive---------18-----------------------
Whats Next After Machine Learning?;A business and organisational point-of-view;1;Albert Suryadi;Towards Data Science;2020;7;1;data;3;5;0;https://towardsdatascience.com/whats-next-after-machine-learning-1ad89aa45997?source=tag_archive---------19-----------------------;https://towardsdatascience.com/@albert.suryadi?source=tag_archive---------19-----------------------
La data : une formidable opportunit daccompagner la lutte contre le dcrochage scolaire;NaN;1;Millionroads;NaN;2020;7;1;data;8;2;0;https://medium.com/@humanroads/la-data-une-formidable-opportunit%C3%A9-daccompagner-la-lutte-contre-le-d%C3%A9crochage-scolaire-20d42d9cfb7e?source=tag_archive---------20-----------------------;https://medium.com/@humanroads?source=tag_archive---------20-----------------------
