Title;Subtitle;Image;Author;Publication;Year;Month;Day;Tag;Reading_Time;Claps;Comment;url;Author_url
You Dont Understand Neural Networks Until You Understand the Universal Approximation Theorem;NaN;1;Andre Ye;Analytics Vidhya;2020;7;1;AI;5;974;0;https://medium.com/analytics-vidhya/you-dont-understand-neural-networks-until-you-understand-the-universal-approximation-theorem-85b3e7677126?source=tag_archive---------0-----------------------;https://medium.com/@andre-ye?source=tag_archive---------0-----------------------
Build your own voice-command assistant with 80 lines of Javascript code;Building A Simple AI Chatbot;1;Tuan Nhu Dinh;The Startup;2020;7;1;AI;3;201;0;https://medium.com/swlh/build-your-own-hi-siri-with-80-lines-of-javascript-code-653540c77502?source=tag_archive---------1-----------------------;https://medium.com/@nhudinhtuan?source=tag_archive---------1-----------------------
NaN;In this part of the series, we will;1;Ishan Singh;Towards Data Science;2020;7;1;AI;5;12;0;https://towardsdatascience.com/syntactic-processing-for-nlp-e88e2eb4fa35?source=tag_archive---------2-----------------------;https://towardsdatascience.com/@IshanSinghRajput?source=tag_archive---------2-----------------------
What Would Happen if Neural Network States Were Complex Numbers?;Incorporating i into the network;1;Andre Ye;Analytics Vidhya;2020;7;1;AI;4;127;0;https://medium.com/analytics-vidhya/what-would-happen-if-neural-network-states-were-complex-numbers-dc5b47731184?source=tag_archive---------3-----------------------;https://medium.com/@andre-ye?source=tag_archive---------3-----------------------
Deploying Dashboards for Machine Learning with AWS;Sample AWS CloudFormation template & code included.;1;Thom Lane;Towards Data Science;2020;7;1;AI;8;39;0;https://towardsdatascience.com/deploying-dashboards-for-machine-learning-with-aws-944c9821db1c?source=tag_archive---------4-----------------------;https://towardsdatascience.com/@thom.e.lane?source=tag_archive---------4-----------------------
Move aside Keras Generator. Its time for TF.DATA + Albumentations;Is it time to move from the Keras;1;AI Bharata;AI In Plain English;2020;7;1;AI;5;42;0;https://medium.com/ai-in-plain-english/move-aside-keras-generator-its-time-for-tf-data-albumentations-284d373709a9?source=tag_archive---------5-----------------------;https://medium.com/@aibharata?source=tag_archive---------5-----------------------
Optimize annotation and training : an Online-Active Learning Framework;Learn how to implement methods;1;Picsell.ia;Towards Data Science;2020;7;1;AI;8;20;0;https://towardsdatascience.com/optimize-annotation-and-training-an-online-active-learning-framework-d1319d746b3f?source=tag_archive---------6-----------------------;https://towardsdatascience.com/@thibautlucas13?source=tag_archive---------6-----------------------
Top Resources to learn Einstein Analytics ( for Free);Quick guider to learning salesforce Analytics;1;kaushik vaijanapurkar;SalesforceTalks;2020;7;1;AI;5;4;0;https://medium.com/salesforcetalks/top-resources-to-learn-einstein-analytics-for-free-43e476818731?source=tag_archive---------7-----------------------;https://medium.com/@kaushikvaijanapurkar?source=tag_archive---------7-----------------------
Improving Learning Outcomes through Spaced Repetition;NaN;1;Miruna Cristus;Sana Labs;2020;7;1;AI;5;81;0;https://medium.com/sana-labs/increasing-learning-outcomes-through-spaced-repetition-b9f1782c6c16?source=tag_archive---------8-----------------------;https://medium.com/@miruna_66247?source=tag_archive---------8-----------------------
Pundi X 365 joins European AI Alliance;Cyprus-based Pundi X 365, the enterprise solution arm of global blockchain devices developer;1;Pundi X65;pundix365;2020;7;1;AI;3;152;0;https://medium.com/pundix365/pundi-x-365-joins-european-ai-alliance-4975b38cdc08?source=tag_archive---------9-----------------------;https://medium.com/@pundix365?source=tag_archive---------9-----------------------
Can Computers Understand Our Emotions?;PyTorch;1;Manish Kumar Shah;Jovian;2020;7;1;AI;14;53;0;https://medium.com/jovianml/can-computers-understand-our-emotions-c296ddf5f23f?source=tag_archive---------10-----------------------;https://medium.com/@manishshah120?source=tag_archive---------10-----------------------
How AI transformed 130yr old video into HD;Digital artist Matt Loughrey managed to convert images shot in 1914 into a;1;Mustafa Yar mba ;AI In Plain English;2020;7;1;AI;2;260;0;https://medium.com/ai-in-plain-english/how-artificial-intelligence-transformed-130-years-old-clip-into-hd-video-95e32ad1600e?source=tag_archive---------11-----------------------;https://medium.com/@myarimbas?source=tag_archive---------11-----------------------
Generating (Mediocre) Pictures of Cars Using AI;NaN;1;Constantin Koch;The Startup;2020;7;1;AI;15;129;0;https://medium.com/swlh/generating-mediocre-pictures-of-cars-using-ai-1e20f507c99b?source=tag_archive---------12-----------------------;https://medium.com/@constantin.koch2000?source=tag_archive---------12-----------------------
A Business Leaders Guide to Chatbots;Sure you have a data science team to deal with all this, but how;1;Praful Krishna;The Startup;2020;7;1;AI;8;59;0;https://medium.com/swlh/a-business-leaders-guide-to-chatbots-22e0b4ac1103?source=tag_archive---------13-----------------------;https://medium.com/@praful-krishna?source=tag_archive---------13-----------------------
Depth-First Search Strategy (DFS);If the maximum depth of search tree is reached and if the solution has not been found, then the search backtracks to the previous level and explores any;0;dpthegrey;NaN;2020;7;1;AI;1;1;0;https://medium.com/@dpthegrey/depth-first-search-strategy-dfs-4a3eafa2b039?source=tag_archive---------14-----------------------;https://medium.com/@dpthegrey?source=tag_archive---------14-----------------------
Get started with IBM Quantum Experience & Supercomputing Virtual Forum Demo;Cahyati Supriyati Sangaji (My;1;cahyati sangajicahya);NaN;2020;7;1;AI;20;0;0;https://medium.com/@cahyati2d/get-started-with-ibm-quantum-experience-supercomputing-virtual-forum-demo-103e456b9473?source=tag_archive---------15-----------------------;https://medium.com/@cahyati2d?source=tag_archive---------15-----------------------
NaN;NaN;1;Linda Chen;The Startup;2020;7;1;AI;8;53;0;https://medium.com/swlh/what-does-it-mean-to-have-an-inherently-biased-machine-learning-model-735fe8390488?source=tag_archive---------16-----------------------;https://medium.com/@linnndachen?source=tag_archive---------16-----------------------
Technology in Agriculture;An overview of AI and ML applications in the field of agriculture;1;GramworkX;Becoming Human: Artificial Intelligence Magazine;2020;7;1;AI;6;103;0;https://becominghuman.ai/technology-in-agriculture-5e0b32cc6de5?source=tag_archive---------17-----------------------;https://becominghuman.ai/@gramworkx?source=tag_archive---------17-----------------------
Sobering up on Blockchain & AI;For a few years now, weve been hearing that blockchain is going to revolutionize the world, and AI is either going to make our lives immeasurably better, or otherwise lead mankind beyond an event horizon where the future is indeterminable. The technological singularity;0;Richard Hundt;NaN;2020;7;1;AI;12;12;0;https://medium.com/@richardhundt/sobering-up-on-blockchain-ai-6e35bdd82af1?source=tag_archive---------18-----------------------;https://medium.com/@richardhundt?source=tag_archive---------18-----------------------
