Title;Subtitle;Image;Author;Publication;Year;Month;Day;Tag;Reading_Time;Claps;Comment;url;Author_url
5.5 Tips on Starting a Career in Data Science;People often ask me questions about starting a career in data science or for;1;Charles Givre;NaN;2020;6;1;data;6;39;0;https://medium.com/@cgivre58/5-5-tips-on-starting-a-career-in-data-science-7c4ed636fc9e?source=tag_archive---------0-----------------------;https://medium.com/@cgivre58?source=tag_archive---------0-----------------------
NaN;Long story shortIt did;1;Cornellius Yudha Wijaya;Towards Data Science;2020;6;1;data;7;43;0;https://towardsdatascience.com/data-scientist-job-is-it-worth-the-sacrifices-made-efdf34139aa6?source=tag_archive---------1-----------------------;https://towardsdatascience.com/@cornelliusyudhawijaya?source=tag_archive---------1-----------------------
My journey into analytics;NaN;1;Ayooluwa Osasere Ogbebor;NaN;2020;6;1;data;5;396;0;https://medium.com/@Ah_Yoh/my-journey-into-analytics-2ad537f09628?source=tag_archive---------2-----------------------;https://medium.com/@Ah_Yoh?source=tag_archive---------2-----------------------
7 books for designing with data;How to communicate using visualizations;1;Joanna Ngai;UX Collective;2020;6;1;data;2;461;0;https://uxdesign.cc/7-books-for-designing-with-data-4b303df58fa2?source=tag_archive---------3-----------------------;https://uxdesign.cc/@njoanna?source=tag_archive---------3-----------------------
Challenges moving data science proof of concepts (POCs) to production;NaN;1;Julien Kervizic;Hacking Analytics;2020;6;1;data;12;21;0;https://medium.com/analytics-and-data/challenges-moving-data-science-proof-of-concept-to-production-458d89b6a9a1?source=tag_archive---------4-----------------------;https://medium.com/@julienkervizic?source=tag_archive---------4-----------------------
Data Buying Guide, Part 1: What is Data Really Worth?;NaN;1;Craig Danton;NaN;2020;6;1;data;9;18;0;https://medium.com/@craigdanton/data-buying-guide-part-1-what-is-data-really-worth-5bf607687b1b?source=tag_archive---------5-----------------------;https://medium.com/@craigdanton?source=tag_archive---------5-----------------------
Private ML with Tensorflow privacy;Building your first privacy-preserving model with TF-Privacy;1;Fabiana Clemente;YData;2020;6;1;data;6;15;0;https://medium.com/ydata-ai/private-ml-with-tensorflow-privacy-9122f3340a9b?source=tag_archive---------6-----------------------;https://medium.com/@fabiana_clemente?source=tag_archive---------6-----------------------
Data Challenge: Update & Next Steps;Thank you to the 247 organisations that submitted applications to the COVIDaction Data Challenge;1;Mike Klein;COVIDaction;2020;6;1;data;4;5;0;https://medium.com/covidaction/data-challenge-update-next-steps-d25e47fc8e54?source=tag_archive---------7-----------------------;https://medium.com/@mikefklein?source=tag_archive---------7-----------------------
OWASP for Data Engineers;Wait.. what? Isnt OWASP something to do with web applications? That was my first reaction too when, some years;1;Robert Hook;The Startup;2020;6;1;data;12;54;0;https://medium.com/swlh/owasp-for-data-engineers-ccbd7681fb7e?source=tag_archive---------8-----------------------;https://medium.com/@rahook?source=tag_archive---------8-----------------------
How to Create Effective Facebook Audiences;A guide to some of the most personalized marketing;1;Jon Torrey;Better Marketing;2020;6;1;data;9;141;0;https://medium.com/better-marketing/how-to-create-effective-facebook-audiences-d80b7653dddd?source=tag_archive---------9-----------------------;https://medium.com/@jonathan-torrey?source=tag_archive---------9-----------------------
5 Reasons Why Product Managers Have to Understand Data;NaN;1;Carlos G de Villaumbrosia;Product Coalition;2020;6;1;data;5;118;0;https://productcoalition.com/5-reasons-why-product-managers-have-to-understand-data-5863da998743?source=tag_archive---------10-----------------------;https://productcoalition.com/@villaumbrosia?source=tag_archive---------10-----------------------
Bank Loan ModellingUsing Customer Data to Optimise Banking Profits;NaN;1;Arman Hussain;NaN;2020;6;1;data;11;0;0;https://medium.com/@arman_hussain786/bank-loan-modelling-using-customer-data-to-optimise-banking-profits-697f43f06f3d?source=tag_archive---------11-----------------------;https://medium.com/@arman_hussain786?source=tag_archive---------11-----------------------
Quest for the holy grail of distributed ledger platforms: the data perspective;NaN;1;Douglas Heintzman;Insolar;2020;6;1;data;4;1.1K;0;https://medium.com/insolar/quest-for-the-holy-grail-of-distributed-ledger-platforms-the-data-perspective-66f5c561751e?source=tag_archive---------12-----------------------;https://medium.com/@douglas.heintzman?source=tag_archive---------12-----------------------
The Top 20 Publications Most Featured by Medium in April 2020An Analysis;I analyzed all 510 of the;1;Lincoln W Daniel;Writers Guild;2020;6;1;data;19;396;0;https://medium.com/writers-guild/the-top-20-publications-most-featured-by-medium-april-2020-937902895dd5?source=tag_archive---------13-----------------------;https://medium.com/@lincolnwdaniel?source=tag_archive---------13-----------------------
Modernizing your data warehouse;Data is the most precious and essential element for any business;1;Mukesh Singh;NaN;2020;6;1;data;6;8;0;https://medium.com/@macxima/modernizing-your-data-warehouse-1489894efbcf?source=tag_archive---------14-----------------------;https://medium.com/@macxima?source=tag_archive---------14-----------------------
Exploratory Data Visualization with Pandas Tutorial;NaN;1;Derek Leung;Data Science Student Society UC San Diego;2020;6;1;data;6;51;0;https://medium.com/ds3ucsd/exploratory-data-visualizations-with-pandas-febda7c915d8?source=tag_archive---------15-----------------------;https://medium.com/@djleung?source=tag_archive---------15-----------------------
 Ep.1;;1;Mori Chang;AccuHit ;2020;6;1;data;5;211;0;https://medium.com/accuhit-%E6%84%9B%E9%85%B7%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80/%E6%95%B8%E6%93%9A%E7%9A%84%E6%9C%AC%E8%B3%AA-ep-1-%E6%9C%AA%E4%BE%86%E7%9A%84%E4%B8%80%E5%88%87-%E9%83%BD%E5%B0%87%E8%88%87%E6%95%B8%E6%93%9A%E7%B7%8A%E5%AF%86%E7%9B%B8%E9%97%9C-4916de0aadb0?source=tag_archive---------16-----------------------;https://medium.com/@mori_34?source=tag_archive---------16-----------------------
Meeting Demand for Insurance in an Uncertain World;NaN;1;Arbor Ventures;NaN;2020;6;1;data;5;3;0;https://medium.com/@arborventures1/meeting-demand-for-insurance-in-an-uncertain-world-1cc80ac47752?source=tag_archive---------17-----------------------;https://medium.com/@arborventures1?source=tag_archive---------17-----------------------
An online collaboration space for Covid-19 Data and Analytics Folk;NaN;1;Sukhmeet Panesar;NaN;2020;6;1;data;3;6;0;https://medium.com/@sukhmeet.panesar/an-online-collaboration-space-for-covid-19-data-and-analytics-folk-d45cb4eb2807?source=tag_archive---------18-----------------------;https://medium.com/@sukhmeet.panesar?source=tag_archive---------18-----------------------
A Non Coders Journey to Data Science then to Data EngineeringPart I;NaN;1;Dharran Kandaiah;NaN;2020;6;1;data;6;3;0;https://medium.com/@dharrankandaiah/a-non-coders-journey-to-data-science-then-to-data-engineering-part-i-9d2a134b3e81?source=tag_archive---------19-----------------------;https://medium.com/@dharrankandaiah?source=tag_archive---------19-----------------------
Stop Playing The Numbers Game;Enjoy the process of your job over the outcome youre trying to achieve.;1;Ryan Fan;Warm Hearts;2020;6;1;data;4;497;0;https://medium.com/warm-hearts/stop-playing-the-numbers-game-87927915b36b?source=tag_archive---------20-----------------------;https://medium.com/@ryanfan?source=tag_archive---------20-----------------------
Introducing: Research Factsheet V2;Market Depth, Historical Volatility, Historical Correlations;1;Kaiko;Kaiko Data;2020;6;1;data;5;33;0;https://blog.kaiko.com/introducing-research-factsheet-v2-42a21b601575?source=tag_archive---------21-----------------------;https://blog.kaiko.com/@kaikodata?source=tag_archive---------21-----------------------
;grasshopper;1; ;NaN;2020;6;1;data;3;11;0;https://medium.com/@com070028/%E6%95%B8%E6%93%9A%E8%88%87%E8%A8%AD%E8%A8%88%E7%9A%84%E6%9C%AA%E4%BE%86%E5%8F%AF%E8%83%BD-c81bf78bad73?source=tag_archive---------22-----------------------;https://medium.com/@com070028?source=tag_archive---------22-----------------------
Get the Data Out: Welcome to FMI;Major crises are often avoided when citizens, voters, journalists, students, researchers;1;FMI;NaN;2020;6;1;data;3;0;0;https://medium.com/@fiscalmonetaryinstitute/get-the-data-out-welcome-to-fmi-aaa65e0dc3ee?source=tag_archive---------23-----------------------;https://medium.com/@fiscalmonetaryinstitute?source=tag_archive---------23-----------------------
The International Data Group;Who are they and what do they do?;1;Alex Moltzau ;NaN;2020;6;1;data;3;0;0;https://medium.com/@alexmoltzau/the-international-data-group-2823b3c0d752?source=tag_archive---------24-----------------------;https://medium.com/@alexmoltzau?source=tag_archive---------24-----------------------
How To Make Sense of StackOverflow Developer Survey 2019;NaN;1;Jonathan I. Obise;NaN;2020;6;1;data;4;1;0;https://medium.com/@jonathanobise/how-to-make-sense-of-stackoverflow-developer-survey-2019-4885291da106?source=tag_archive---------25-----------------------;https://medium.com/@jonathanobise?source=tag_archive---------25-----------------------
NaN;NaN;1;Jacqueline von Ogden;NaN;2020;6;1;data;5;0;0;https://medium.com/@vonogden-jacqueline/why-cis-benchmarks-are-critical-for-security-and-compliance-e050741dba9c?source=tag_archive---------26-----------------------;https://medium.com/@vonogden-jacqueline?source=tag_archive---------26-----------------------
3 Things to Consider Before Data Collection;Are you on the journey to bring that new concept to life? or maybe its a personal;1;Chibuzo Ugonabo;NaN;2020;6;1;data;3;329;0;https://medium.com/@chibuzo-ugonabo/3-things-to-consider-before-data-collection-7f611869fd85?source=tag_archive---------27-----------------------;https://medium.com/@chibuzo-ugonabo?source=tag_archive---------27-----------------------
The Moving Curve: Episode 65;NaN;0;Rukmini S;NaN;2020;6;1;data;2;4;0;https://medium.com/@rukminiwrites/the-moving-curve-episode-65-e275bb794a78?source=tag_archive---------28-----------------------;https://medium.com/@rukminiwrites?source=tag_archive---------28-----------------------
Move data between clouds at 1/10th of the price;NaN;1;Jayden Bartram;Couchdrop;2020;6;1;data;2;0;0;https://medium.com/couchdrop-io/move-data-between-clouds-at-1-10th-of-the-price-3405caa88362?source=tag_archive---------29-----------------------;https://medium.com/@bartynz?source=tag_archive---------29-----------------------
Are We Heading For Another AI Winter Soon?;Read Kathleen Walchs article in Forbes about AI winters.;1;Kathleen Walch;Cognilytica;2020;6;1;data;1;0;0;https://medium.com/cognilytica/are-we-heading-for-another-ai-winter-soon-55f463ec6317?source=tag_archive---------30-----------------------;https://medium.com/@kath0134?source=tag_archive---------30-----------------------
Willows & Oaks: A Short Story About Agency & the Future of Data;June 1, 2020 | Taylor Kendal;1;Taylor Kendal;NaN;2020;6;1;data;3;0;0;https://medium.com/@taykendesign/willows-oaks-a-short-story-about-agency-the-future-of-data-8faad7f19cd8?source=tag_archive---------31-----------------------;https://medium.com/@taykendesign?source=tag_archive---------31-----------------------
Covid-19 Analysis;The recent Corona Virus has shook the world and changed people lives. The whole world is struggling with this virus. I took the;1;smirti dwibedi;NaN;2020;6;1;data;4;0;0;https://medium.com/@smirtidwibedi.03/covid-19-analysis-17b84bf8a851?source=tag_archive---------32-----------------------;https://medium.com/@smirtidwibedi.03?source=tag_archive---------32-----------------------
Is It Worth Studying Data Science?;Data Science adalah pekerjaan yang sangat menjanjikan saat ini. Dimasa pandemic ini saya meluangkan;1;Rina;Cerita Kita;2020;6;1;data;2;230;0;https://medium.com/cerita-kita/is-it-worth-studying-data-science-c92316e9955c?source=tag_archive---------33-----------------------;https://medium.com/@rinnaka?source=tag_archive---------33-----------------------
SQL for Beginners!;NaN;1;Vududala Sai Kiran;NaN;2020;6;1;data;2;50;0;https://medium.com/@saikiran37544/sql-for-beginners-9d681d95cfa9?source=tag_archive---------34-----------------------;https://medium.com/@saikiran37544?source=tag_archive---------34-----------------------
[FREE LIVE WEBINAR] How To Start Your Career in Data Science- What are The Next Steps?;NaN;1;Satyanageshan;NaN;2020;6;1;data;2;0;0;https://medium.com/@satyanageshan8/free-live-webinar-how-to-start-your-career-in-data-science-what-are-the-next-steps-d8bcccee03d1?source=tag_archive---------35-----------------------;https://medium.com/@satyanageshan8?source=tag_archive---------35-----------------------
Contratos Inteligentes;Formalizar acordos entre partes, muitas s vezes geram uma tremenda dor de cabea. Seja pela burocracia nas etapas;1;Leonardo Chagas;NaN;2020;6;1;data;2;0;0;https://medium.com/@leonarddocchagas/contratos-inteligentes-67625dd3846d?source=tag_archive---------36-----------------------;https://medium.com/@leonarddocchagas?source=tag_archive---------36-----------------------
What is conversion rate and how to optimize it?;Increase your sales with same traffic!;0;Emir Can Atl ;NaN;2020;6;1;data;5;0;0;https://medium.com/@emircanatl/what-is-conversion-rate-and-how-to-optimize-it-9a0aebd6b401?source=tag_archive---------37-----------------------;https://medium.com/@emircanatl?source=tag_archive---------37-----------------------
Stones from the skyCuriosities about the meteorites fallen on Earth;Exploiting NASA Open Data Portal;1;S Medagli;NaN;2020;6;1;data;5;0;0;https://medium.com/@s.medagli/stones-from-the-sky-curiosities-about-the-meteorites-fallen-on-earth-eeee4d32ddae?source=tag_archive---------38-----------------------;https://medium.com/@s.medagli?source=tag_archive---------38-----------------------
Responding to Covid-19: Data driven care models;NaN;1;Sophie Taysom;NaN;2020;6;1;data;6;0;0;https://medium.com/@sophietaysom/responding-to-covid-19-data-driven-care-models-97c9bf30a0a9?source=tag_archive---------39-----------------------;https://medium.com/@sophietaysom?source=tag_archive---------39-----------------------
NaN;NaN;0;James Michael Wilkinson;NaN;2020;6;1;data;0;0;1;https://onezero.medium.com/the-internet-is-only-permanent-when-you-dont-want-it-to-be-6f5127c6e27f?source=tag_archive---------40-----------------------#16e3;https://medium.com/@denalidad?source=tag_archive---------40-----------------------
ATH Leaps FeaturesData View;Start exploring on your own on ATH Leaps;1;Analyttica Datalab;NaN;2020;6;1;data;0;0;0;https://medium.com/@analyttica/ath-leaps-features-data-view-d619829e6a80?source=tag_archive---------41-----------------------;https://medium.com/@analyttica?source=tag_archive---------41-----------------------
Why your small business needs data to achieve its goals?;NaN;1;Lyane Bartlett;NaN;2020;6;1;data;3;0;0;https://medium.com/@lyane-bartlett/why-your-small-business-needs-data-to-achieve-its-goals-c480efb7b0e8?source=tag_archive---------42-----------------------;https://medium.com/@lyane-bartlett?source=tag_archive---------42-----------------------
A Brief History of Liv Ups Data Platform;This is the journey of building a data platform, from 2017 to 2020. During these three;1;Luiz Arakaki;Liv Up Inside the Kitchen;2020;6;2;data;9;547;0;https://medium.com/liv-up-inside-the-kitchen/a-brief-history-of-liv-up-data-platform-5ac403644c1c?source=tag_archive---------0-----------------------;https://medium.com/@luizarakaki?source=tag_archive---------0-----------------------
