Title;Subtitle;Image;Author;Publication;Year;Month;Day;Tag;Reading_Time;Claps;Comment;url;Author_url
Announcing Ocean Data Farming;A program to incentivize a supply of relevant and high-quality data;1;Trent McConaghy;Ocean Protocol;2020;10;1;data;5;676;0;https://blog.oceanprotocol.com/announcing-ocean-data-farming-26c036d12f20?source=tag_archive---------0-----------------------;https://blog.oceanprotocol.com/@trentmc0?source=tag_archive---------0-----------------------
5 Wrong Ways to Do Covid-19 Data Smoothing;Much of Covid-19's data analysis is based on flawed;1;Steve McConnell;Towards Data Science;2020;10;1;data;7;2;0;https://towardsdatascience.com/five-wrong-ways-to-do-covid-19-data-smoothing-1538db6ff182?source=tag_archive---------1-----------------------;https://towardsdatascience.com/@stevemcc?source=tag_archive---------1-----------------------
Space for Thought: Connecting the data points to the future of PropTech;NaN;1;Dave Mullen;NaN;2020;10;1;data;5;77;0;https://medium.com/@davidmullen88/space-for-thought-connecting-the-data-points-to-the-future-of-proptech-b7a8f4c50d60?source=tag_archive---------2-----------------------;https://medium.com/@davidmullen88?source=tag_archive---------2-----------------------
How to Solve the Youre Using THAT Table?! Problem;What it takes to instantly identify the most;1;Barr Moses;Towards Data Science;2020;10;1;data;7;97;0;https://towardsdatascience.com/how-to-solve-the-youre-using-that-table-problem-22bdabec57a1?source=tag_archive---------3-----------------------;https://towardsdatascience.com/@barrmoses?source=tag_archive---------3-----------------------
Why the mantra the strategy is delivery is not enough;NaN;1;Joy Bonaguro;NaN;2020;10;1;data;3;123;0;https://medium.com/@joybonaguro/why-the-mantra-the-strategy-is-delivery-is-not-enough-41d301898acf?source=tag_archive---------4-----------------------;https://medium.com/@joybonaguro?source=tag_archive---------4-----------------------
How To Prepare Your Data For Machine Learning;Predicting Survival On The Titanic;1;Frank Zickert;Towards Data Science;2020;10;1;data;11;11;0;https://towardsdatascience.com/how-to-prepare-your-data-for-machine-learning-307cc556af48?source=tag_archive---------5-----------------------;https://towardsdatascience.com/@fzickert?source=tag_archive---------5-----------------------
Decades Have Been Spent Teaching about the Holocaustbut What Have Americans Been Learning?;NaN;1;United States Holocaust Memorial Museum;Memory Action;2020;10;1;data;3;4;0;https://medium.com/memory-action/decades-have-been-spent-teaching-about-the-holocaust-but-what-have-americans-been-learning-53b8ab4517d3?source=tag_archive---------6-----------------------;https://medium.com/@memoryandaction?source=tag_archive---------6-----------------------
Dates and Times in Salesforce Marketing Cloud;Date fields in Marketing Cloud can be challenging. They are stored in a specific;1;Charlie Fay;NaN;2020;10;1;data;3;5;0;https://medium.com/@charliefay/dates-and-times-in-salesforce-marketing-cloud-c17c74a57768?source=tag_archive---------7-----------------------;https://medium.com/@charliefay?source=tag_archive---------7-----------------------
Migrating Metabase application database;At QuintoAndar, data availability is crucial to our core business, providing data insights;1;Amom Mendes;QuintoAndar Tech Blog;2020;10;1;data;6;120;0;https://medium.com/quintoandar-tech-blog/migrating-metabase-application-database-520455a9d160?source=tag_archive---------8-----------------------;https://medium.com/@amommendes?source=tag_archive---------8-----------------------
Generating realistic looking fake data in Snowflake;NaN;1;James Weakley;NaN;2020;10;1;data;2;20;0;https://medium.com/@jamesweakley/generating-realistic-looking-fake-data-in-snowflake-aab18cc95c7?source=tag_archive---------9-----------------------;https://medium.com/@jamesweakley?source=tag_archive---------9-----------------------
Visualizing Decades of Racial Bias in NYPD Police Misconduct;Exploring over 32,000 allegations of;1;Vishal Chandawarkar;NaN;2020;10;1;data;5;57;0;https://medium.com/@vishplease/visualizing-decades-of-racial-bias-in-nypd-police-misconduct-2ec5804f77ea?source=tag_archive---------10-----------------------;https://medium.com/@vishplease?source=tag_archive---------10-----------------------
Data is not Oil, its Land;The most popular metaphor I hear (especially from non-technical, project manager-y individuals) as a battle cry;1;Kevin Horecka;NaN;2020;10;1;data;4;6;0;https://medium.com/@kevin-horecka/data-is-not-oil-its-land-89c21dfb0b91?source=tag_archive---------11-----------------------;https://medium.com/@kevin-horecka?source=tag_archive---------11-----------------------
