Title;Subtitle;Image;Author;Publication;Year;Month;Day;Tag;Reading_Time;Claps;Comment;url;Author_url
Microsoft Excel in the era of big data;We never learned this at school;1;Benoit Pimpaud;Towards Data Science;2020;2;1;data;6;896;0;https://towardsdatascience.com/microsoft-excel-in-the-era-of-big-data-401e67ca28a5?source=tag_archive---------0-----------------------;https://towardsdatascience.com/@benoit.pimpaud?source=tag_archive---------0-----------------------
Creating a basic pie chart using Matplotlib;How pie charts can be used to describe your data.;1;Mubarak Ganiyu;Towards Data Science;2020;2;1;data;5;99;0;https://towardsdatascience.com/creating-a-basic-pie-chart-using-matplotlib-16dd3bf540b6?source=tag_archive---------1-----------------------;https://towardsdatascience.com/@Mubarak_Ganiyu?source=tag_archive---------1-----------------------
Azure CosmosDBLessons learned;Lessons learned developing a NodeJs application on CosmosDB with the;1;Julien Kervizic;Hacking Analytics;2020;2;1;data;6;21;0;https://medium.com/analytics-and-data/azure-cosmosdb-lessons-learned-77f6086c815a?source=tag_archive---------2-----------------------;https://medium.com/@julienkervizic?source=tag_archive---------2-----------------------
Learn SQL Techniques: Selecting Data and More in SQL Server;Intro to SQL Statements and Query to find;1;Eric Kleppen;NaN;2020;2;1;data;4;29;0;https://medium.com/@erickleppen/learn-sql-techniques-selecting-data-and-more-in-sql-server-624f81dd16b2?source=tag_archive---------3-----------------------;https://medium.com/@erickleppen?source=tag_archive---------3-----------------------
Your Data-Double is Spying;NaN;1;Casey Hinton;The Startup;2020;2;1;data;5;80;0;https://medium.com/swlh/your-data-double-is-spying-8a9f670c5b8e?source=tag_archive---------4-----------------------;https://medium.com/@casehinton_40260?source=tag_archive---------4-----------------------
How I Accidentally Voted for Trump, According to Math;NaN;1;Irfan Hashmi;Data Driven Investor;2020;2;1;data;6;89;0;https://medium.com/datadriveninvestor/how-i-accidentally-voted-for-trump-according-to-the-data-e30af10506c3?source=tag_archive---------5-----------------------;https://medium.com/@irfanhashmi?source=tag_archive---------5-----------------------
2020.01| Genaro Network (GNX) Monthly Technical ReportJanuary;NaN;1;Genaro NetworkGNX);Smart Data Ecosystem by Genaro Network;2020;2;1;data;4;0;0;https://medium.com/genaro-network/2020-01-genaro-network-gnx-monthly-technical-report-january-e4a01119fad0?source=tag_archive---------6-----------------------;https://medium.com/@GenaroNetwork?source=tag_archive---------6-----------------------
Data Visualization: Emotive Style;For the past few days Ive been revisiting my university projects. Wondering what did I learn there;1;frilla;NaN;2020;2;1;data;6;2;0;https://medium.com/@frilla/data-visualization-emotive-style-58b9d02343ea?source=tag_archive---------7-----------------------;https://medium.com/@frilla?source=tag_archive---------7-----------------------
Abram espao para o melhor ms do ano;Chegou Fevereiro.;1;Guilherme Guidetti;NaN;2020;2;1;data;2;2;0;https://medium.com/@guiguidetti.p/abram-espa%C3%A7o-para-o-melhor-m%C3%AAs-do-ano-a8d107e75a07?source=tag_archive---------8-----------------------;https://medium.com/@guiguidetti.p?source=tag_archive---------8-----------------------
Data management for image annotation: how to make the life of ML engineer easier?;NaN;1;TaQadam Image Annotation for A.I.;NaN;2020;2;1;data;2;0;0;https://medium.com/@taqadam.progress/data-management-for-image-annotation-how-to-make-the-life-of-ml-engineer-easier-824285f9c6ee?source=tag_archive---------9-----------------------;https://medium.com/@taqadam.progress?source=tag_archive---------9-----------------------
Efficiently Rendering Large Lists or Tabular Data in React.JS;So, you are working on a web application;1;David Makuni;NaN;2020;2;1;data;4;0;0;https://medium.com/@daviemakz/efficiently-rendering-large-lists-or-tabular-data-in-react-js-de5fb249fcd8?source=tag_archive---------10-----------------------;https://medium.com/@daviemakz?source=tag_archive---------10-----------------------
Data Structures: Stack;Article Summary;1;Christopher Melby;NaN;2020;2;1;data;4;0;0;https://medium.com/@chrisMelby/data-structures-stack-99f91404f20?source=tag_archive---------11-----------------------;https://medium.com/@chrisMelby?source=tag_archive---------11-----------------------
Do You Treat Data As Asset Or Liability?;NaN;1;Flavio Aliberti;Data Driven Investor;2020;2;1;data;3;204;0;https://medium.com/datadriveninvestor/do-you-treat-data-as-asset-or-liability-7adb711bb2fb?source=tag_archive---------12-----------------------;https://medium.com/@flavalib?source=tag_archive---------12-----------------------
Foundations in Sound Design for Embedded Media;Foundations in Sound Design for Embedded Media ;1;MichaelMyk Eff' Filimowicz, PhD;Sound and Design;2020;2;1;data;5;0;0;https://medium.com/sound-and-design/foundations-in-sound-design-for-embedded-media-f928c3bf0f32?source=tag_archive---------13-----------------------;https://medium.com/@michael-filimowicz?source=tag_archive---------13-----------------------
Ad tech suits on blockchain technology?;Reviewing and compile blockchain industry topic, updating market references and research;1;Blockchain Project Research Study;CollaboGate Research Blockchain and Technology Laboratory;2020;2;1;data;2;5;0;https://medium.com/collabogate-research-group-in-tokyo/ad-tech-suits-on-blockchain-technology-4e15dcaa2b84?source=tag_archive---------14-----------------------;https://medium.com/@kuriharan?source=tag_archive---------14-----------------------
Why is it so easy to lose money??;Individual investors are wired to lose money in the stock market over time.;1;Jason M. Ray;NaN;2020;2;1;data;3;2;0;https://medium.com/@jason_52211/why-is-it-so-easy-to-lose-money-44a30c621bad?source=tag_archive---------15-----------------------;https://medium.com/@jason_52211?source=tag_archive---------15-----------------------
Data Science Training;Definition-;1;jitendra singh;NaN;2020;2;1;data;2;0;0;https://medium.com/@jitendraksingh810/data-science-training-d008e4ba42c7?source=tag_archive---------16-----------------------;https://medium.com/@jitendraksingh810?source=tag_archive---------16-----------------------
Using Device Manager;NaN;1;Manjeet Singh Kuthar;NaN;2020;2;1;data;3;0;0;https://medium.com/@manjeetsinghkuthar/using-device-manager-f2fc83735088?source=tag_archive---------17-----------------------;https://medium.com/@manjeetsinghkuthar?source=tag_archive---------17-----------------------
Pool Limited Queue Processing in Python;How to process your data in parallel with a predefined number;1;Konstantin Taletskiy;Towards Data Science;2020;2;2;data;8;76;0;https://towardsdatascience.com/pool-limited-queue-processing-in-python-2d02555b57dc?source=tag_archive---------0-----------------------;https://towardsdatascience.com/@kostal91?source=tag_archive---------0-----------------------
GIS: Its not about the tools, Its all about data and process;NaN;1;Dinesh Neupane;NaN;2020;2;2;data;6;23;0;https://medium.com/@dinesh.neupane5/gis-its-not-about-the-tools-it-s-all-about-data-and-process-4e627a934540?source=tag_archive---------1-----------------------;https://medium.com/@dinesh.neupane5?source=tag_archive---------1-----------------------
NaN;Hardcore data analysis;1;Pavel HorbonosMidvel Corp);Towards Data Science;2020;2;2;data;6;178;0;https://towardsdatascience.com/linux-command-line-utils-for-data-scientist-efff43a10f3c?source=tag_archive---------2-----------------------;https://towardsdatascience.com/@midvel.corp?source=tag_archive---------2-----------------------
How to Make Beautiful Small Multiple US Maps in R;A single line of code can take your visualization to;1;Connor Rothschild;Towards Data Science;2020;2;2;data;5;102;0;https://towardsdatascience.com/how-to-make-beautiful-small-multiple-us-maps-in-r-ad7e557cd463?source=tag_archive---------3-----------------------;https://towardsdatascience.com/@connorrothschild?source=tag_archive---------3-----------------------
A Closer Look At Dataset Columns;A look at a datasets columns and other related key terms;1;Adam Ross Nelson;Towards Data Science;2020;2;2;data;4;12;0;https://towardsdatascience.com/a-closer-look-at-dataset-columns-d6551b9d39e2?source=tag_archive---------4-----------------------;https://towardsdatascience.com/@adamrossnelson?source=tag_archive---------4-----------------------
What I Do At the New York City Tourism Board;Its reached critical mass recently with the number of people who would love to learn more about what I do at my job. Im truly flattered that so many people are curious about the work that I do, and so Im happy to talk about my job in detail here;0;Jon Tesser;NaN;2020;2;2;data;3;150;0;https://medium.com/@mahler101/what-i-do-at-the-new-york-city-tourism-board-d45fb400ceb2?source=tag_archive---------5-----------------------;https://medium.com/@mahler101?source=tag_archive---------5-----------------------
Medium Next Generation Stats;Hacking medium articles statistics page and giving it to the people;1;"GuilhermeVirgs"" Moraes";DataSeries;2020;2;2;data;5;298;0;https://medium.com/dataseries/medium-next-generation-stats-b8e61bddda5d?source=tag_archive---------6-----------------------;https://medium.com/@virgs?source=tag_archive---------6-----------------------
Dashboarding Myths;This is my story about wow to Ive been eliminating miths around the report automation and dashboardng processes.;0;Paula Velandia;NaN;2020;2;2;data;4;4;0;https://medium.com/@paulamvelandia/dashboarding-myths-9e4c3b288ae8?source=tag_archive---------7-----------------------;https://medium.com/@paulamvelandia?source=tag_archive---------7-----------------------
Java Data Structures made easy with Collections.;NaN;1;Lucas Martin Calderon;NaN;2020;2;2;data;3;0;0;https://medium.com/@lucasmartincalderon1/java-data-structures-made-easy-with-collections-71a0fca6575a?source=tag_archive---------8-----------------------;https://medium.com/@lucasmartincalderon1?source=tag_archive---------8-----------------------
3 Short Links on Popular Domain Lists for Threat Intelligence;NaN;0;Jason Trost;NaN;2020;2;2;data;1;0;0;https://medium.com/@jason_trost/3-short-links-on-popular-domain-lists-for-threat-intelligence-f2492b9fce72?source=tag_archive---------9-----------------------;https://medium.com/@jason_trost?source=tag_archive---------9-----------------------
How Kindergarten Prepared Me to be One of Many #UdacityTechScholars;When I received an email from Udacity congratulating me for being accepted into phase two of the data track, I was elated. By the same token, I was a little panicked because when I didnt get accepted into the;0;Charlene Rossell Mitchell;Udacity Technology Scholarship;2020;2;2;data;6;7;0;https://medium.com/udacity-technology-scholarship/how-kindergarten-prepared-me-to-be-one-of-many-udacitytechscholars-1cf32976eadc?source=tag_archive---------10-----------------------;https://medium.com/@charlenermitchell?source=tag_archive---------10-----------------------
Oil market is improved by blockchain?;Today, we are picking up commodity trade and blockchain operation.;0;Blockchain Project Research Study;CollaboGate Research Blockchain and Technology Laboratory;2020;2;2;data;2;0;0;https://medium.com/collabogate-research-group-in-tokyo/oil-markw-c5815f51047?source=tag_archive---------11-----------------------;https://medium.com/@kuriharan?source=tag_archive---------11-----------------------
Data Analyst? TIME TO LEARN PYTHON!!!;NaN;1;Ron Soak ;NaN;2020;2;2;data;5;100;0;https://medium.com/@ronsoak/data-analyst-time-to-learn-python-8b45ae05e432?source=tag_archive---------12-----------------------;https://medium.com/@ronsoak?source=tag_archive---------12-----------------------
What is Data Preparation, and why is it Important?;NaN;1;Sanjay Verma;LrnEd;2020;2;2;data;4;0;0;https://medium.com/lrned/what-is-data-preparation-and-why-is-it-important-f90ad168228d?source=tag_archive---------13-----------------------;https://medium.com/@sanjayv?source=tag_archive---------13-----------------------
Ride-Hailing in the UKWho Will Take Over from Uber?;NaN;1;SimilarWeb;SimilarWeb;2020;2;2;data;2;172;0;https://medium.com/similar-web/ride-hailing-in-the-uk-who-will-take-over-from-uber-f3601a2a9a26?source=tag_archive---------14-----------------------;https://medium.com/@similar-web?source=tag_archive---------14-----------------------
NaN;NaN;0;Terry J. Leach;NaN;2020;2;2;data;0;5;1;https://towardsdatascience.com/great-expectations-ef9059f04995?source=tag_archive---------15-----------------------#65fc;https://medium.com/@tjgodel?source=tag_archive---------15-----------------------
