Title;Subtitle;Image;Author;Publication;Year;Month;Day;Tag;Reading_Time;Claps;Comment;url;Author_url
Artificial Intelligence against COVID-19: An Early Review;AI has not yet made an impact, but data;1;Wim Naud ;Towards Data Science;2020;4;1;Artificial-Intelligence;19;101;0;https://towardsdatascience.com/artificial-intelligence-against-covid-19-an-early-review-92a8360edaba?source=tag_archive---------0-----------------------;https://towardsdatascience.com/@wimnaude?source=tag_archive---------0-----------------------
How to Extract Data from PDF Forms Using Python;Introduction;1;ankur garg;Towards Data Science;2020;4;1;Artificial-Intelligence;7;106;0;https://towardsdatascience.com/how-to-extract-data-from-pdf-forms-using-python-10b5e5f26f70?source=tag_archive---------1-----------------------;https://towardsdatascience.com/@garg.dce?source=tag_archive---------1-----------------------
Deploying Pytorch & Tensorflow models as Serverless functions on AWS lambda.;NaN;1;Madhu Sanjeevi Mady;dataDL.ai;2020;4;1;Artificial-Intelligence;15;105;0;https://medium.com/datadl-ai/deploying-pytorch-tensorflow-keras-models-as-serverless-functions-on-aws-lambda-63edd4c4d0f4?source=tag_archive---------2-----------------------;https://medium.com/@madhusanjeevi.ai?source=tag_archive---------2-----------------------
Where does Mean Squared Error (MSE) come from?;Some satisfying justifications for this seemingly;1;Rodrigo Castellon;Towards Data Science;2020;4;1;Artificial-Intelligence;8;56;0;https://towardsdatascience.com/where-does-mean-squared-error-mse-come-from-2002bbbd7806?source=tag_archive---------3-----------------------;https://towardsdatascience.com/@rjcaste?source=tag_archive---------3-----------------------
AI in a Sextech: the Future of Sex;How smart tech is transforming your sexuality and our society;1;Anna Prist;Voice UI;2020;4;1;Artificial-Intelligence;8;71;0;https://medium.com/voiceui/ai-in-a-sextech-the-future-of-sex-41f6720912f5?source=tag_archive---------4-----------------------;https://medium.com/@annaprist?source=tag_archive---------4-----------------------
TensorFlow Lite Android Support Library: Simplify ML On Android;Introducing the new TF Lite Android;1;Shubham Panchal;Towards Data Science;2020;4;1;Artificial-Intelligence;3;42;0;https://towardsdatascience.com/tensorflow-lite-android-support-library-simply-ml-on-android-561402292c80?source=tag_archive---------5-----------------------;https://towardsdatascience.com/@equipintelligence?source=tag_archive---------5-----------------------
Predicting Banking Customer Leave or Remain using Neural Network;Intuitive Walk-through on Artificial;1;Luke Sun;Towards Data Science;2020;4;1;Artificial-Intelligence;7;17;0;https://towardsdatascience.com/ann-classification-banking-customer-leave-or-stay-1cba16441185?source=tag_archive---------6-----------------------;https://towardsdatascience.com/@lukesun?source=tag_archive---------6-----------------------
Tensorflow Object Detection API in Google Colab (Case : Detect Chest X-Ray Image of Covid-19;NaN;0;akademi-ai;akademi-ai;2020;4;1;Artificial-Intelligence;8;201;0;https://medium.com/akademi-ai/tensorflow-object-detection-api-in-google-colab-case-detect-chest-x-ray-image-of-covid-19-b0df35809f17?source=tag_archive---------7-----------------------;https://medium.com/@akademi-ai?source=tag_archive---------7-----------------------
Detect AI-generated Images & Deepfakes (Part 2);NaN;1;Jonathan Hui;NaN;2020;4;1;Artificial-Intelligence;16;95;0;https://medium.com/@jonathan-hui/detect-ai-generated-images-deepfakes-part-2-436c57eeb878?source=tag_archive---------8-----------------------;https://medium.com/@jonathan-hui?source=tag_archive---------8-----------------------
Overview of DensePose: Dense Human Pose Estimation In The Wild;NaN;1;Kunal Chhabria;NaN;2020;4;1;Artificial-Intelligence;7;748;0;https://medium.com/@kunalchhabria/overview-of-densepose-dense-human-pose-estimation-in-the-wild-67b0eb7c508a?source=tag_archive---------9-----------------------;https://medium.com/@kunalchhabria?source=tag_archive---------9-----------------------
Creating Adversarial Examples for Neural Networks with JAX;In this tutorial, we will see how to create;1;Agasti Kishor Dukare;Towards Data Science;2020;4;1;Artificial-Intelligence;5;66;0;https://towardsdatascience.com/creating-adversarial-examples-with-jax-from-the-scratch-bf267757f672?source=tag_archive---------10-----------------------;https://towardsdatascience.com/@agastidukare?source=tag_archive---------10-----------------------
Steps to building a Poker AIPart 1: Outline and History;NaN;1;Thomas Trenner;AI In Plain English;2020;4;1;Artificial-Intelligence;2;18;0;https://medium.com/ai-in-plain-english/steps-to-building-a-poker-ai-part-1-outline-and-history-58fbedaf6ded?source=tag_archive---------11-----------------------;https://medium.com/@thomas.trenner?source=tag_archive---------11-----------------------
Recurrent Neural Networks in Deep LearningPart2;By Priyal Walpita;1;Priyal Walpita;Data Driven Investor;2020;4;1;Artificial-Intelligence;11;91;0;https://medium.com/datadriveninvestor/recurrent-neural-networks-in-deep-learning-part2-ce9fe1770a31?source=tag_archive---------12-----------------------;https://medium.com/@priyalwalpita?source=tag_archive---------12-----------------------
Machine Learning DevOps;Weve had a good DevOps definition for regular software development since there has been many good tools available in;1;Minkyu Choi;NaN;2020;4;1;Artificial-Intelligence;4;36;0;https://medium.com/@minkyu.choi/machine-learning-devops-e71794548bda?source=tag_archive---------13-----------------------;https://medium.com/@minkyu.choi?source=tag_archive---------13-----------------------
Google DeepMind Agent 57 Beats Human Baselines Across Atari Games Suite;NaN;1;Synced;SyncedReview;2020;4;1;Artificial-Intelligence;4;156;0;https://medium.com/syncedreview/google-deepmind-agent-57-beats-human-baselines-across-atari-games-suite-9476e0f50bad?source=tag_archive---------14-----------------------;https://medium.com/@Synced?source=tag_archive---------14-----------------------
The psychopathology of chatbots;Designing usable conversational AI solutions using human centered;1;Srini Janarthanam;UX Collective;2020;4;1;Artificial-Intelligence;10;51;0;https://uxdesign.cc/psychopathology-of-chatbots-4afc1919e045?source=tag_archive---------15-----------------------;https://uxdesign.cc/@srinijanarthanam?source=tag_archive---------15-----------------------
