Title;Subtitle;Image;Author;Publication;Year;Month;Day;Tag;Reading_Time;Claps;Comment;url;Author_url
Comprehensive Guide to the Data Warehouse;Learn about the role of the data warehouse as the master;1;Nicole Janeway Bills;Towards Data Science;2020;8;2;data;7;340;0;https://towardsdatascience.com/data-warehouse-68ec63eecf78?source=tag_archive---------0-----------------------;https://towardsdatascience.com/@nicolejaneway?source=tag_archive---------0-----------------------
Designing Data-Intensive Applications Book Review;A modern classic for database and distributed system;1;Mark MacArdle;Towards Data Science;2020;8;2;data;4;195;0;https://towardsdatascience.com/designing-data-intensive-applications-book-review-cc34ba1f90a7?source=tag_archive---------1-----------------------;https://towardsdatascience.com/@macardle?source=tag_archive---------1-----------------------
Solving Algerias engineering Brain Drain ? A study about Salaries and Military training;NaN;1;Yasser El Habib DRIF;NaN;2020;8;2;data;4;489;0;https://medium.com/@yasserdrif/solving-algerias-engineering-brain-drain-%EF%B8%8F-a-study-about-salaries-and-military-training-b383293683ca?source=tag_archive---------2-----------------------;https://medium.com/@yasserdrif?source=tag_archive---------2-----------------------
A Journey of Data Engineer to the CloudData Lake;NaN;1;Arvind Kumar;The Startup;2020;8;2;data;9;150;0;https://medium.com/swlh/a-journey-of-data-engineer-to-the-cloud-data-lake-66a305657d5e?source=tag_archive---------3-----------------------;https://medium.com/@arvinddhariwal?source=tag_archive---------3-----------------------
Visually Interactive Models Help E-retailers Navigate Last Mile Complexity;The growth trajectory of;1;Matthias Winkenbach;MITSupplyChain;2020;8;2;data;6;8;0;https://medium.com/mitsupplychain/visually-interactive-models-help-e-retailers-navigate-last-mile-complexity-503b06799279?source=tag_archive---------4-----------------------;https://medium.com/@mwinkenb?source=tag_archive---------4-----------------------
,     ;  ,      .    ;0;GoncharovA;Sasha_Inverse;2020;8;2;data;6;15;0;https://medium.com/sasha-inverse/%D0%B2%D0%BE%D0%BF%D1%80%D0%BE%D1%81-%D0%BA%D0%BE%D1%82%D0%BE%D1%80%D1%8B%D0%B9-%D0%BD%D0%B5%D0%BB%D1%8C%D0%B7%D1%8F-%D0%BD%D0%B5-%D0%B7%D0%B0%D0%B4%D0%B0%D1%82%D1%8C-%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D1%83%D1%80%D1%8B-%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85-e162e62bc7fa?source=tag_archive---------5-----------------------;https://medium.com/@goncharbv2000?source=tag_archive---------5-----------------------
Apache Airflow: Instalacin, Configuracin y Creacin del Primer DAG en Mac;NaN;1;Alberto Cami a;NaN;2020;8;2;data;7;1;0;https://medium.com/@albcamina/apache-airflow-instalaci%C3%B3n-y-configuraci%C3%B3n-y-creaci%C3%B3n-del-primer-dag-en-mac-9bab61470f0d?source=tag_archive---------6-----------------------;https://medium.com/@albcamina?source=tag_archive---------6-----------------------
NaN;NaN;1;Abhijeet Sahoo;Towards AI;2020;8;2;data;7;404;0;https://medium.com/towards-artificial-intelligence/dealing-with-class-imbalance-dummy-classifiers-f9ca516567af?source=tag_archive---------7-----------------------;https://medium.com/@abhijeetsahoo2212?source=tag_archive---------7-----------------------
The End of Google!;But will this ever happen? Googles end? Like no Google at all? Where do we search? What about mails? What about Maps;1;Digvijay Patil;NaN;2020;8;2;data;8;534;0;https://medium.com/@think_digvijay/the-end-of-google-252e33bc0437?source=tag_archive---------8-----------------------;https://medium.com/@think_digvijay?source=tag_archive---------8-----------------------
Building a COVID-19 classifier for Brazils OpenDataSUS data;Using data to try and identify;1;Pedro Carvalho;NaN;2020;8;2;data;8;58;0;https://medium.com/@ptcar2009/building-a-covid-19-classifier-for-brazils-opendatasus-data-bd365b529b1b?source=tag_archive---------9-----------------------;https://medium.com/@ptcar2009?source=tag_archive---------9-----------------------
