Title;Subtitle;Image;Author;Publication;Year;Month;Day;Tag;Reading_Time;Claps;Comment;url;Author_url
What is Operations Research?;A comprehensive introduction to the field of Operations Research;1;Joos Korstanje;Towards Data Science;2020;3;1;data;6;168;0;https://towardsdatascience.com/what-is-operations-research-1541fb6f4963?source=tag_archive---------0-----------------------;https://towardsdatascience.com/@jooskorstanje?source=tag_archive---------0-----------------------
Visualization  COVID-19  Tableau Public;NaN;1;Sarut Yentakham;NaN;2020;3;1;data;4;11;0;https://medium.com/@benz20003/visualization-%E0%B8%82%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%B9%E0%B8%A5-covid-19-%E0%B8%94%E0%B9%89%E0%B8%A7%E0%B8%A2-tableau-public-accf3aa1ae1b?source=tag_archive---------1-----------------------;https://medium.com/@benz20003?source=tag_archive---------1-----------------------
Whats Behind the 76ers Road Woes?;An analytical review of the theories behind the worst home-road;1;David Glidden;Towards Data Science;2020;3;1;data;12;0;0;https://towardsdatascience.com/whats-behind-the-76ers-road-woes-939a3d9a78c2?source=tag_archive---------2-----------------------;https://towardsdatascience.com/@dglid?source=tag_archive---------2-----------------------
Design + Cincia de Dados?;Pode isso?;1;Bruno Katekawa;Designed by Data;2020;3;1;data;5;74;0;https://medium.com/designed-by-data/design-ci%C3%AAncia-de-dados-5fe8e268bd40?source=tag_archive---------3-----------------------;https://medium.com/@brunokatekawa?source=tag_archive---------3-----------------------
A work breakdown structure (WBS) for big data analytics projectsPart 1;NaN;1;Vijay@vijay_b);NaN;2020;3;1;data;2;3;0;https://medium.com/@vijay_b/a-work-breakdown-structure-wbs-for-big-data-analytics-projects-part-1-db4c2a8179fd?source=tag_archive---------4-----------------------;https://medium.com/@vijay_b?source=tag_archive---------4-----------------------
Data QA: Why You Need It & How to Do It;Get to know your data;1;Ido Zehori;Analytics Vidhya;2020;3;1;data;9;218;0;https://medium.com/analytics-vidhya/data-qa-why-you-need-it-how-to-do-it-888e389bc368?source=tag_archive---------5-----------------------;https://medium.com/@zehori.ido?source=tag_archive---------5-----------------------
Stratify k-fold splits equally and correctly;The purpose of this article is to fix the sometimes incorrect stratification of;1;Danil Zherebtsov;Analytics Vidhya;2020;3;1;data;3;1;0;https://medium.com/analytics-vidhya/stratify-kfold-splits-equally-and-correctly-f2f80487bb7e?source=tag_archive---------6-----------------------;https://medium.com/@danilzherebtsov?source=tag_archive---------6-----------------------
Best Practices for Managing Data Science and Delivering Impact;Build impactful data science teams;1;Ido Zehori;Data Driven Investor;2020;3;1;data;5;284;0;https://medium.com/datadriveninvestor/ensuring-the-success-of-data-science-and-data-scientists-36742981e879?source=tag_archive---------7-----------------------;https://medium.com/@zehori.ido?source=tag_archive---------7-----------------------
Anlisis de Sentimiento: Exploracin del Discurso Presidencial en la Apertura de Sesiones Ordinarias del Congreso;NaN;1;Pedro Damian Orden;NaN;2020;3;1;data;3;3;0;https://medium.com/@pedroorden/an%C3%A1lisis-de-sentimiento-exploraci%C3%B3n-del-discurso-presidencial-en-la-apertura-de-sesiones-c4f6cfab7d73?source=tag_archive---------8-----------------------;https://medium.com/@pedroorden?source=tag_archive---------8-----------------------
(New) Tableau Zen Master Sarah Bartlett Interview & Dilyana Bossenz discusses her #VOTW!;NaN;1;Adam Mico;NaN;2020;3;1;data;11;0;0;https://medium.com/@adammico/bartlett-91f193cc5283?source=tag_archive---------9-----------------------;https://medium.com/@adammico?source=tag_archive---------9-----------------------
