Title;Subtitle;Image;Author;Publication;Year;Month;Day;Tag;Reading_Time;Claps;Comment;url;Author_url
Rookie errors in machine learning;Or, how not to screw up;1;Archy de Berker;Towards Data Science;2020;3;1;Artificial-Intelligence;17;317;0;https://towardsdatascience.com/rookie-errors-in-machine-learning-bc1c627f2789?source=tag_archive---------0-----------------------;https://towardsdatascience.com/@archydeberker?source=tag_archive---------0-----------------------
Poke-Agent: Pokemon Battling & Reinforcement Learning;Machine learning models have beaten humans at;1;Caleb Lewis;Towards Data Science;2020;3;1;Artificial-Intelligence;5;358;0;https://towardsdatascience.com/poke-agent-pokemon-battling-reinforcement-learning-27ef10885c5c?source=tag_archive---------1-----------------------;https://towardsdatascience.com/@caleb.dre?source=tag_archive---------1-----------------------
What weve been up to at Factmata;2020 Update: Core Language Engine built, three commercial products;1;Dhruv Ghulati;Factmata;2020;3;1;Artificial-Intelligence;5;178;0;https://medium.com/factmata/3-stage-plan-e2f9f06bdd62?source=tag_archive---------2-----------------------;https://medium.com/@dhruvghulati?source=tag_archive---------2-----------------------
NaN;NaN;1;David Yakobovitch;The Startup;2020;3;1;Artificial-Intelligence;5;11;0;https://medium.com/swlh/the-fastest-growing-hidden-job-in-2020-is-network-engineering-6034bdf288b?source=tag_archive---------3-----------------------;https://medium.com/@david.yakobovitch?source=tag_archive---------3-----------------------
NaN;Randomness might;1;Quinn Wang;Towards Data Science;2020;3;1;Artificial-Intelligence;7;25;0;https://towardsdatascience.com/beware-of-the-very-random-forest-680a0c1132de?source=tag_archive---------4-----------------------;https://towardsdatascience.com/@quinn.wang?source=tag_archive---------4-----------------------
Information Bottleneck for NLP (parsing & summarization);NaN;1;Jason C.S. Wu;Jason s NLP Blog;2020;3;1;Artificial-Intelligence;6;81;0;https://medium.com/jasonwu0731/information-bottleneck-for-nlp-parsing-summarization-961418fbb697?source=tag_archive---------5-----------------------;https://medium.com/@jason-wu830731?source=tag_archive---------5-----------------------
Pandas: Under the hood and tips/tricks for data science and data wrangling;NaN;1;Manikandan Jeeva;NaN;2020;3;1;Artificial-Intelligence;12;8;0;https://medium.com/@dataibreathe/pandas-under-the-hood-and-tips-tricks-for-data-science-and-data-wrangling-7c5ff6568231?source=tag_archive---------6-----------------------;https://medium.com/@dataibreathe?source=tag_archive---------6-----------------------
Teaching Machines to Fly Themselves using Artificial Intelligence;NaN;1;Mikhail Klassen;Paladin AI;2020;3;1;Artificial-Intelligence;7;6;0;https://medium.com/paladin-ai/teaching-machines-to-fly-themselves-using-artificial-intelligence-b70e208574c4?source=tag_archive---------7-----------------------;https://medium.com/@mikhailklassen?source=tag_archive---------7-----------------------
Managing Human and Machine Intelligence;Managers needs to look beyond data and algorithms to explore;1;Lee Schlenker;Towards Data Science;2020;3;1;Artificial-Intelligence;7;10;0;https://towardsdatascience.com/matching-human-and-machine-intelligence-41125c88a9fa?source=tag_archive---------8-----------------------;https://towardsdatascience.com/@leeschlenker?source=tag_archive---------8-----------------------
Foundations of Data Science;Nowadays, all of us have heard that Data is the new oil and the Data Science is the combustion engine that;1;Parveen Khurana;NaN;2020;3;1;Artificial-Intelligence;19;9;0;https://medium.com/@prvnk10/foundations-of-data-science-53c57174272e?source=tag_archive---------9-----------------------;https://medium.com/@prvnk10?source=tag_archive---------9-----------------------
Evolutionary AI;We are visiting National University Lviv Polytechnic to tell the story about our vision and;1;Curiosio;NaN;2020;3;1;Artificial-Intelligence;9;15;0;https://medium.com/@curiosio/evolutionary-ai-19db1772829a?source=tag_archive---------10-----------------------;https://medium.com/@curiosio?source=tag_archive---------10-----------------------
(not so) Crazy Ideas for Amazons Future;Why Amazon.com will be your next bank or use your refrigerator as part of their;1;ML-Guy;NaN;2020;3;1;Artificial-Intelligence;21;60;0;https://medium.com/@guyernest/not-so-crazy-ideas-for-amazons-future-593e953e113f?source=tag_archive---------11-----------------------;https://medium.com/@guyernest?source=tag_archive---------11-----------------------
Ensemble learning Simplified;Inline with my earlier blog on Reinforcement learning Simplified that I recieved excellent reception, I now;1;Sunila Gollapudi;Data Driven Investor;2020;3;1;Artificial-Intelligence;6;67;0;https://medium.com/datadriveninvestor/ensemble-learning-simplified-868a99b6d945?source=tag_archive---------12-----------------------;https://medium.com/@sunila-gollapudi?source=tag_archive---------12-----------------------
The Untapped Potential of Cognitive Robotic Process Automation;Exploring business benefits of;1;Raj Shroff;The Startup;2020;3;1;Artificial-Intelligence;7;275;0;https://medium.com/swlh/the-untapped-potential-of-cognitive-robotic-process-automation-d19664e4000b?source=tag_archive---------13-----------------------;https://medium.com/@raj.r.shroff?source=tag_archive---------13-----------------------
Last Week in AI;Every week, Invector Labs publishes a newsletter that covers the most recent developments in AI research and technology. You can;1;Jesus Rodriguez;NaN;2020;3;1;Artificial-Intelligence;3;135;0;https://medium.com/@jrodthoughts/last-week-in-ai-8db5d5ce0b62?source=tag_archive---------14-----------------------;https://medium.com/@jrodthoughts?source=tag_archive---------14-----------------------
The State of Artificial Intelligence Ethics;NaN;1;Xeno Acharya;Towards Data Science;2020;3;1;Artificial-Intelligence;7;162;0;https://towardsdatascience.com/the-state-of-artificial-intelligence-ethics-38e9bf5cdf2c?source=tag_archive---------15-----------------------;https://towardsdatascience.com/@xenoach?source=tag_archive---------15-----------------------
Growing a General Intelligence with Cellular Automata and the Free-Energy Principle;NaN;1;Steve Hazel;NaN;2020;3;1;Artificial-Intelligence;15;1;0;https://medium.com/@SteveHazel/growing-a-general-intelligence-with-cellular-automata-and-the-free-energy-principle-eaf26d597421?source=tag_archive---------16-----------------------;https://medium.com/@SteveHazel?source=tag_archive---------16-----------------------
(6)CNN;;0;Yanwei Liu;NaN;2020;3;1;Artificial-Intelligence;2;0;0;https://medium.com/@yanwei-liu/%E6%B7%B1%E5%BA%A6%E5%AD%B8%E7%BF%92%E7%AD%86%E8%A8%98-6-%E5%8D%B7%E7%A9%8D%E7%A5%9E%E7%B6%93%E7%B6%B2%E8%B7%AFcnn-793748eeef5?source=tag_archive---------17-----------------------;https://medium.com/@yanwei-liu?source=tag_archive---------17-----------------------
