Title;Subtitle;Image;Author;Publication;Year;Month;Day;Tag;Reading_Time;Claps;Comment;url;Author_url
15 Essential Steps To Build Reliable Data Pipelines;Every Data Pipeline Will FailHow to Prepare For;1;Anna Anisienia;Towards Data Science;2020;12;1;data;11;472;0;https://towardsdatascience.com/15-essential-steps-to-build-reliable-data-pipelines-58847cb5d92f?source=tag_archive---------0-----------------------;https://towardsdatascience.com/@anna.anisienia?source=tag_archive---------0-----------------------
NaN;Time to up your;1;Ashish Tomar;Towards Data Science;2020;12;1;data;8;932;0;https://towardsdatascience.com/indexing-for-sql-query-optimization-139b57db9fc6?source=tag_archive---------1-----------------------;https://towardsdatascience.com/@ashishtomar-60885?source=tag_archive---------1-----------------------
Introducing the Open Oracle Gateway for Polkadot;The Open Oracle Gateway provides open, inclusive and;1;Bryan Chen;Polkadot Network;2020;12;1;data;5;292;0;https://medium.com/polkadot-network/introducing-the-open-oracle-gateway-for-polkadot-1cf2e1b71c92?source=tag_archive---------2-----------------------;https://medium.com/@bryan_chen?source=tag_archive---------2-----------------------
BigQuerylessons learned;A brief summary of BigQuery adaptation as backup storage and analytic tool.;1;Andrzej Ludwikowski;SoftwareMill Tech Blog;2020;12;1;data;7;97;0;https://blog.softwaremill.com/bigquery-lessons-learned-63b8a830e628?source=tag_archive---------3-----------------------;https://blog.softwaremill.com/@andrzej.ludwikowski?source=tag_archive---------3-----------------------
NaN;NaN;1;Pete Soderling;NaN;2020;12;1;data;6;207;0;https://medium.com/@petesoder/investing-in-the-next-1-000-engineer-founders-69fb74193b36?source=tag_archive---------4-----------------------;https://medium.com/@petesoder?source=tag_archive---------4-----------------------
GDI Deep Read: Breaking Down the Hype of Cashless Societies;NaN;1;Good Data Initiative;Good Data Initiative;2020;12;1;data;15;38;0;https://medium.com/good-data-initiative/gdi-deep-read-breaking-down-the-hype-of-cashless-societies-95d70bbd6f0a?source=tag_archive---------5-----------------------;https://medium.com/@gooddatainitiative?source=tag_archive---------5-----------------------
30 Days of PowerBI Challenge;Deep-Dive into PowerBI with Cities in Codes;1;Fortune Uwha;NaN;2020;12;1;data;4;212;0;https://medium.com/@fortune.uwha/30-days-of-powerbi-challenge-6a2d0e14da40?source=tag_archive---------6-----------------------;https://medium.com/@fortune.uwha?source=tag_archive---------6-----------------------
What is Serverless SQL and how to use it for Data Exploration?;So, you are a data scientist, you work;1;Adi Polak;Towards Data Science;2020;12;1;data;5;273;0;https://towardsdatascience.com/what-is-serverless-sql-and-how-to-use-it-for-data-exploration-eadad1f1a036?source=tag_archive---------7-----------------------;https://towardsdatascience.com/@adipolak?source=tag_archive---------7-----------------------
The Double Diamond for Data Analytics: The Discovery Space;NaN;1;Bobby den Bezemer;The Startup;2020;12;1;data;7;120;0;https://medium.com/swlh/the-double-diamond-for-data-analytics-the-discovery-space-1acea5d24e8f?source=tag_archive---------8-----------------------;https://medium.com/@bobbydenbezemer?source=tag_archive---------8-----------------------
Read Messy Excel Files Like a Pro;Using pandas to read less than ideal excel formats;1;Tim Meehan;Towards Data Science;2020;12;1;data;5;15;0;https://towardsdatascience.com/read-messy-excel-files-like-a-pro-27880306ad0b?source=tag_archive---------9-----------------------;https://towardsdatascience.com/@timothyrmeehan?source=tag_archive---------9-----------------------
My twenty-year journey with first-party data;For decades lenders have embraced first-party data in fraud prevention yet;1;Aire;Aire Life;2020;12;1;data;6;8;0;https://medium.com/aire-life/my-twenty-year-journey-with-first-party-data-c1a04134956?source=tag_archive---------10-----------------------;https://medium.com/@airelabs?source=tag_archive---------10-----------------------
Stochastic gradient descent implementation for SoftSVM;How to choose the best regularization parameter;1;Jaime Dantas;Towards Data Science;2020;12;1;data;6;7;0;https://towardsdatascience.com/stochastic-gradient-descent-implementation-for-softsvm-de036d1001b8?source=tag_archive---------11-----------------------;https://towardsdatascience.com/@jaimedantas?source=tag_archive---------11-----------------------
Your Mentor Search? Its Wrong.;Did the title grab your attention? Good. Of course your mentor search;1;Nathan Cohen;The Startup;2020;12;1;data;4;38;0;https://medium.com/swlh/your-mentor-search-its-wrong-827e7b9bcb99?source=tag_archive---------12-----------------------;https://medium.com/@naco89?source=tag_archive---------12-----------------------
Embrace the Refactor;Why there is nothing to fear when refactoring code, but fear of perfection;1;Ryan Kelly;Equinox Media Tech;2020;12;1;data;6;34;0;https://medium.com/equinox-media-tech/embrace-the-refactor-24dbb295e44d?source=tag_archive---------13-----------------------;https://medium.com/@katabasis?source=tag_archive---------13-----------------------
Data analysis process 5 steps in decision making;NaN;1;Sajjad Hussain;Data Prophet;2020;12;1;data;4;2;0;https://medium.com/dataprophet/data-analysis-process-5-steps-in-decision-making-27eb49681d75?source=tag_archive---------14-----------------------;https://medium.com/@sajjadhussain-11869?source=tag_archive---------14-----------------------
[Data Leak] AdityaBirlaCapital. Thousands of personal health data of individuals at risk.;NaN;1;Sumit Raj;NaN;2020;12;1;data;2;2;0;https://medium.com/@sumit12dec/data-leak-adityabirlacapital-thousands-of-personal-health-data-of-individuals-at-risk-a46de08c1bdb?source=tag_archive---------15-----------------------;https://medium.com/@sumit12dec?source=tag_archive---------15-----------------------
Post 1;After graduating in 2017 with a 2:1 in Criminology, I was sure that I did not want to work in Prisons, Probation or with the Police so;0;Eya Whyte;NaN;2020;12;1;data;7;0;0;https://medium.com/@eyawhyte/post-1-1f241107e6b2?source=tag_archive---------16-----------------------;https://medium.com/@eyawhyte?source=tag_archive---------16-----------------------
How to optimize your data science resume;This guest post was provided by Pathrise, an online mentorship program that works with;1;Practicum by Yandex;Practicum by Yandex;2020;12;1;data;4;1;0;https://medium.com/practicum-by-yandex/how-to-optimize-your-data-science-resume-6a107a39eb57?source=tag_archive---------17-----------------------;https://medium.com/@y-practicum?source=tag_archive---------17-----------------------
A Covid-19 Model for Countries in Crisis: Introducing OCHA-Bucky;NaN;1;OCHA Centre for Humanitarian Data;COVIDaction;2020;12;1;data;6;0;0;https://medium.com/covidaction/a-covid-19-model-for-countries-in-crisis-introducing-ocha-bucky-e8ad94b37067?source=tag_archive---------18-----------------------;https://medium.com/@humdata?source=tag_archive---------18-----------------------
Using the ukcovid19 Package;Public Health England have an R package for their statistics.;1;Anthony B. Masters;The Startup;2020;12;1;data;4;20;0;https://medium.com/swlh/using-the-ukcovid19-package-c9edf8bfee01?source=tag_archive---------19-----------------------;https://medium.com/@anthonybmasters?source=tag_archive---------19-----------------------
Join the Streamr Team at MyData 2020;Our friends at MyData Global are organising the annualgathering for anyone in the data space;1;Marlene Ronstedt;Streamr;2020;12;1;data;2;151;0;https://medium.com/streamrblog/join-the-streamr-team-at-mydata-2020-4b47d78402e6?source=tag_archive---------20-----------------------;https://medium.com/@ronstedt?source=tag_archive---------20-----------------------
Becoming a Data Artist: Using Data to Create Art;NaN;1;Albert Frantz;NaN;2020;12;1;data;3;10;0;https://medium.com/@albertfrantz/becoming-a-data-artist-using-data-to-create-art-bdd1f90bb080?source=tag_archive---------21-----------------------;https://medium.com/@albertfrantz?source=tag_archive---------21-----------------------
Rethinking the Behavioral Value Reinvestment Cyclea Model That Helped Google Succeed (and Fail);NaN;1;Memri;NaN;2020;12;1;data;4;8;0;https://medium.com/@memri/rethinking-the-behavioral-value-reinvestment-cycle-a-model-that-helped-google-succeed-and-fail-3f94a6f55788?source=tag_archive---------22-----------------------;https://medium.com/@memri?source=tag_archive---------22-----------------------
How AI Projects Can Survive Budget Cuts;AI jobs are way down. Heres what companies and employees can;1;Obviously AI;Data Driven Investor;2020;12;1;data;3;78;0;https://medium.com/datadriveninvestor/how-ai-projects-can-survive-budget-cuts-1cad448e51c1?source=tag_archive---------23-----------------------;https://medium.com/@obviouslyai?source=tag_archive---------23-----------------------
Covid19 Clinical Trial Data Hacking;State-sponsored hackers from China, Russia, Iran and North Korea are currently engaged in concerted attempts to steal coronavirus vaccine secrets in what security experts describe as an intellectual property war.;0;Clintex CTi;NaN;2020;12;1;data;2;0;0;https://medium.com/@clintexcti/covid19-clinical-trial-data-hacking-1221aa594a74?source=tag_archive---------24-----------------------;https://medium.com/@clintexcti?source=tag_archive---------24-----------------------
Best Practices for Data Visualization;Data visualization can seem daunting to a beginner, and the best way to learn is through;1;Avery Somers;Analytics Vidhya;2020;12;1;data;4;1;0;https://medium.com/analytics-vidhya/best-practices-for-data-visualization-d305c8340974?source=tag_archive---------25-----------------------;https://medium.com/@acs619?source=tag_archive---------25-----------------------
Its time to clean up the noise in your world with better knowledge management.;If youve been;1;Joy Lee;Weavit.ai;2020;12;1;data;3;5;0;https://medium.com/weavit/its-time-to-clean-up-the-noise-in-your-world-with-better-knowledge-management-d6bdb6c97cbb?source=tag_archive---------26-----------------------;https://medium.com/@thejoylee?source=tag_archive---------26-----------------------
Whats New In Data: re:invent Andy Jassy Keynote;NaN;1;Matt Houghton;NaN;2020;12;1;data;5;0;0;https://medium.com/@mattdevdba/whats-new-in-data-re-invent-andy-jassy-keynote-6cb6c88fbe63?source=tag_archive---------27-----------------------;https://medium.com/@mattdevdba?source=tag_archive---------27-----------------------
Hammer Missions: Success StoriesEuro Drone Inspections;In this story, we spoke to Rik from Euro;1;Hammer;Hammer News;2020;12;1;data;4;0;0;https://medium.com/hammer-news/hammer-missions-success-stories-euro-drone-inspections-601d6793f5ed?source=tag_archive---------28-----------------------;https://medium.com/@hammermissions?source=tag_archive---------28-----------------------
Using blockchain to build a self-sovereign financial identity;NaN;1;Pngme;Pngme;2020;12;1;data;3;0;0;https://medium.com/pngme/using-blockchain-to-build-a-self-sovereign-financial-identity-ed5853223cce?source=tag_archive---------29-----------------------;https://medium.com/@pngme?source=tag_archive---------29-----------------------
Understanding the Implications of the Cloud Federation on Computing;NaN;1;ARCKADL Inc;NaN;2020;12;1;data;3;7;0;https://medium.com/@arckadl/understanding-the-implications-of-the-cloud-federation-on-computing-a66dc6f3c91f?source=tag_archive---------30-----------------------;https://medium.com/@arckadl?source=tag_archive---------30-----------------------
How is Data transfer on the Internet?;Direct Dedicated;0;Abhay Jain;NaN;2020;12;1;data;2;2;0;https://medium.com/@abhayjain13/how-is-data-transfer-on-the-internet-dcc63e71edb5?source=tag_archive---------31-----------------------;https://medium.com/@abhayjain13?source=tag_archive---------31-----------------------
Most people claim they tried to do at least one positive thing a day in 2020;NaN;1;SWNS;NaN;2020;12;1;data;4;0;0;https://medium.com/@pitch-20575/most-people-claim-they-tried-to-do-at-least-one-positive-thing-a-day-in-2020-804efb1295ae?source=tag_archive---------32-----------------------;https://medium.com/@pitch-20575?source=tag_archive---------32-----------------------
Building a Data-Driven Ecosystem;Data in the 21st century is like oil in the 18th century which has;1;Carmachain;NaN;2020;12;1;data;2;0;0;https://medium.com/@carmachain/building-a-data-driven-ecosystem-374dbfa20e4?source=tag_archive---------33-----------------------;https://medium.com/@carmachain?source=tag_archive---------33-----------------------
A Picture is Actually Worth 50,123 Words;11 wisdom from the crowdConfirmed (Or NOT) by Google Books;1;Smillew Rahcuef;NaN;2020;12;1;data;4;5;0;https://medium.com/@smillewrahcuef/a-picture-is-actually-worth-50-123-words-69eab36b919?source=tag_archive---------34-----------------------;https://medium.com/@smillewrahcuef?source=tag_archive---------34-----------------------
