Title;Subtitle;Image;Author;Publication;Year;Month;Day;Tag;Reading_Time;Claps;Comment;url;Author_url
The Future of VC: Augmenting Humans with AI;"tl;dr:";1;Andre Retterath;Earlybird's view;2020;12;1;AI;11;305;0;https://medium.com/birds-view/the-future-of-vc-augmenting-humans-with-ai-30f1d79a09c3?source=tag_archive---------0-----------------------;https://medium.com/@andreretterath?source=tag_archive---------0-----------------------
DeepMinds Stunning Breakthrough Shows How AI Could Save Us;The breakthroughs will just keep coming;1;Lance Ulanoff;NaN;2020;12;1;AI;3;257;0;https://medium.com/@LanceUlanoff/deepminds-stunning-breakthrough-shows-how-ai-could-save-us-30b360845cf1?source=tag_archive---------1-----------------------;https://medium.com/@LanceUlanoff?source=tag_archive---------1-----------------------
Sparse R-CNN: the New Detector Type;Today we are going to discuss a method proposed by researchers;1;Emil Bogomolov;LabelMe;2020;12;1;AI;5;21;0;https://medium.com/labelme/sparse-r-cnn-the-new-detector-type-174d2507d00?source=tag_archive---------2-----------------------;https://medium.com/@emilbogomolov?source=tag_archive---------2-----------------------
Time Series and How to Detect Anomalies in ThemPart III;Eventually easier than it seemed;1;Khanin Artur;Becoming Human: Artificial Intelligence Magazine;2020;12;1;AI;9;165;0;https://becominghuman.ai/time-series-and-how-to-detect-anomalies-in-them-part-iii-f72e800e15e2?source=tag_archive---------3-----------------------;https://becominghuman.ai/@khaninartur?source=tag_archive---------3-----------------------
NaN;NaN;1;Pete Soderling;NaN;2020;12;1;AI;6;207;0;https://medium.com/@petesoder/investing-in-the-next-1-000-engineer-founders-69fb74193b36?source=tag_archive---------4-----------------------;https://medium.com/@petesoder?source=tag_archive---------4-----------------------
Patenting the Future: How Intellectual Property Shapes the Tech Industry;NaN;1;Moley Robotics;NaN;2020;12;1;AI;3;9;0;https://medium.com/@moleyrobotics/patenting-the-future-how-intellectual-property-shapes-the-tech-industry-39b3a655f3b2?source=tag_archive---------5-----------------------;https://medium.com/@moleyrobotics?source=tag_archive---------5-----------------------
A Scientific Quest for CommunityMatchmaking and Networking in the Realm of Life Sciences Innovation;NaN;1;Guy Rohkin;DataSeries;2020;12;1;AI;11;9;0;https://medium.com/dataseries/a-scientific-quest-for-community-matchmaking-and-networking-in-the-realm-of-life-sciences-c6a6b4ab12d2?source=tag_archive---------6-----------------------;https://medium.com/@guy-18024?source=tag_archive---------6-----------------------
Everything Product People Need to Know About Transformers (Part 2: GPT);Or, How to Act Like You Know About GPT-3;0;Yacov Lewis;Towards Data Science;2020;12;1;AI;10;30;0;https://towardsdatascience.com/everything-product-people-need-to-know-about-transformers-part-2-gpt-34c065ba07bf?source=tag_archive---------7-----------------------;https://towardsdatascience.com/@yacovlewis?source=tag_archive---------7-----------------------
Q&A: Frens Kroeger on  trusted AI ecosystems;Trust researcher Frens Kroeger talks about the need to;1;People AI Research;People AI Research;2020;12;1;AI;6;261;0;https://medium.com/people-ai-research/q-a-frens-kroeger-on-trusted-ai-ecosystems-6a837b2081e?source=tag_archive---------8-----------------------;https://medium.com/@pairgoogle?source=tag_archive---------8-----------------------
Introducing Autonios SmartDex;The SmartDEX is a 0x based exchange, with the first iterations of the exchange featuring on-board market;1;Ali Raheman;Autonio;2020;12;1;AI;2;209;0;https://medium.com/autonio-foundation/introducing-autonios-smartdex-19986eef31b4?source=tag_archive---------9-----------------------;https://medium.com/@raheman-ali?source=tag_archive---------9-----------------------
Even Our Patterns Are Fractured;Understanding why we cant get a handle on things and some people seem;1;Mike Meyer;Curious;2020;12;1;AI;5;290;0;https://medium.com/curious/even-our-patterns-are-fractured-bf350ec72eff?source=tag_archive---------10-----------------------;https://medium.com/@mike-meyer?source=tag_archive---------10-----------------------
Immersive Music Prototype for the Smart Home;Like many of you, Ive been going through live music;1;Ivan Todorov;The Startup;2020;12;1;AI;8;40;0;https://medium.com/swlh/immersive-music-prototype-for-the-smart-home-cdf2748e474c?source=tag_archive---------11-----------------------;https://medium.com/@ivantodorovio?source=tag_archive---------11-----------------------
Why We Led Loop Teams Seed Round;By Vic Singh;1;Eniac Ventures;NaN;2020;12;1;AI;2;54;0;https://medium.com/@eniacvc/why-we-led-loop-teams-seed-round-26ce3ef3e17e?source=tag_archive---------12-----------------------;https://medium.com/@eniacvc?source=tag_archive---------12-----------------------
TransformersLets Dive Deeeep!;WARNING;1;Sukanya Bag;Analytics Vidhya;2020;12;1;AI;12;413;0;https://medium.com/analytics-vidhya/transformers-lets-dive-deeeep-7784bdb20807?source=tag_archive---------13-----------------------;https://medium.com/@sukanyabag?source=tag_archive---------13-----------------------
The Life Sciences Industry is Ripe for Platform Disruption;NaN;1;Stefani Robnett;NaN;2020;12;1;AI;10;2;0;https://medium.com/@stefani-41864/the-life-sciences-industry-is-ripe-for-platform-disruption-1b4b64b1821e?source=tag_archive---------14-----------------------;https://medium.com/@stefani-41864?source=tag_archive---------14-----------------------
