Title;Subtitle;Image;Author;Publication;Year;Month;Day;Tag;Reading_Time;Claps;Comment;url;Author_url
NaN;And other;1;Dave Gershgorn;OneZero;2020;5;1;AI;3;2.4K;0;https://onezero.medium.com/deepfake-music-is-so-good-it-might-be-illegal-c11f9618d1f9?source=tag_archive---------0-----------------------;https://onezero.medium.com/@dave?source=tag_archive---------0-----------------------
You Only Look Once..     !;   (Object Detection)    You Only Look Once: Unified;1; ;CURG;2020;5;1;AI;18;410;0;https://medium.com/curg/you-only-look-once-%EB%8B%A4-%EB%8B%A8%EC%A7%80-%ED%95%9C-%EB%B2%88%EB%A7%8C-%EB%B3%B4%EC%95%98%EC%9D%84-%EB%BF%90%EC%9D%B4%EB%9D%BC%EA%B5%AC-bddc8e6238e2?source=tag_archive---------1-----------------------;https://medium.com/@scalalang2?source=tag_archive---------1-----------------------
NaN;Which Line Would You Pull To Catch The Fish? Our Deep Learning Networks Dont Know.;1;Darius at Leela AI;The Startup;2020;5;1;AI;3;131;0;https://medium.com/swlh/which-line-would-you-pull-to-catch-the-fish-our-deep-learning-networks-dont-know-82e7f8bdf9db?source=tag_archive---------2-----------------------;https://medium.com/@webadmin-22666?source=tag_archive---------2-----------------------
IBMs AutoAI at Work;Testing AutoAI in Two Real-World Applications;1; lvaro Corrales Cano;IBM Garage;2020;5;1;AI;9;38;0;https://medium.com/ibm-garage/ibms-autoai-at-work-890359910a43?source=tag_archive---------3-----------------------;https://medium.com/@alvaro.corrales.cano?source=tag_archive---------3-----------------------
AI and Our Complex Future;Change, Instability and Disruption;1;Jonathan Follett;Towards Data Science;2020;5;1;AI;9;50;0;https://towardsdatascience.com/ai-and-our-complex-future-13b4ac36c5cd?source=tag_archive---------4-----------------------;https://towardsdatascience.com/@jonfollett?source=tag_archive---------4-----------------------
Swift from zero to Tensorflow;Everything you need to get started building neural networks with Swift;1;Michele Rexha;Phi Skills;2020;5;1;AI;13;54;0;https://medium.com/phi-skills/swift-from-zero-to-tensorflow-69c125ccbe39?source=tag_archive---------5-----------------------;https://medium.com/@rexha.michele?source=tag_archive---------5-----------------------
Community Newsletter (20 April1 May);As we enter the fifth month of the year, find out about the;1;Fetch.ai;Fetch.ai;2020;5;1;AI;3;13;0;https://medium.com/fetch-ai/community-newsletter-20-april-1-may-ec0b8ebaa026?source=tag_archive---------6-----------------------;https://medium.com/@fetch.ai?source=tag_archive---------6-----------------------
Im Portrt: Nvidia CEO Jensen Huang;Das Superhirn hinter der knstlichen Intelligenz;1;fintechcube;NaN;2020;5;1;AI;4;1;0;https://medium.com/@fintechcube/im-portr%C3%A4t-nvidia-ceo-jensen-huang-4a3f1393df33?source=tag_archive---------7-----------------------;https://medium.com/@fintechcube?source=tag_archive---------7-----------------------
#ICYMI_010: Music, Art, Lyrics, Memes it Times of A.I.;8 weird, fascinating, and eerie things happened;1;Vlad AlexMerzmensch);Merzazine;2020;5;1;AI;6;14;0;https://medium.com/merzazine/icymi-010-music-art-lyrics-memes-it-times-of-a-i-89c36b4cc0f8?source=tag_archive---------8-----------------------;https://medium.com/@merzmensch?source=tag_archive---------8-----------------------
Simple CNN using PyTorch;This article is a simple guide that will help you build and understand the concepts behind building a simple CNN.By;1;Srimanth Tenneti;Analytics Vidhya;2020;5;1;AI;4;0;0;https://medium.com/analytics-vidhya/simple-cnn-using-pytorch-c1be80bd7511?source=tag_archive---------9-----------------------;https://medium.com/@srimanthtenneti?source=tag_archive---------9-----------------------
How AI is entering the dental market;For many people, a future with Artificial Intelligence (AI) can sound frightening. Autonomous;1;Dr Kyle Turner;NaN;2020;5;1;AI;3;5;0;https://medium.com/@kyle_75725/how-ai-is-entering-the-dental-market-b204de2e26ee?source=tag_archive---------10-----------------------;https://medium.com/@kyle_75725?source=tag_archive---------10-----------------------
Meet the People Building the Next Generation of Tools for AI Innovation;A snapshot of the Zetane team;1;Jason Behrmann, PhD;Zetane Blog;2020;5;1;AI;6;2;0;https://medium.com/zetane-blog/meet-the-people-building-the-next-generation-of-tools-for-ai-innovation-43aeb2b16c00?source=tag_archive---------11-----------------------;https://medium.com/@JBehrmannPhD?source=tag_archive---------11-----------------------
Linkedin AI Destekli Mlakat Simulasyon Arac;Linkedin yapay zeka tabanl mlakat simlasyonu arac ile adaylara verdikleri;1;Burcu K ;NaN;2020;5;1;AI;2;5;0;https://medium.com/@burcukis/linkedin-ai-destekli-m%C3%BClakat-simulasyon-arac%C4%B1-3d4c88cb9de5?source=tag_archive---------12-----------------------;https://medium.com/@burcukis?source=tag_archive---------12-----------------------
NaN;NaN;1;Yannique Hecht;Towards AI;2020;5;1;AI;5;138;0;https://medium.com/towards-artificial-intelligence/ai-uncertainty-4ac6810899ac?source=tag_archive---------13-----------------------;https://medium.com/@yannique?source=tag_archive---------13-----------------------
